d,e,f,g,h,a,c,b
2,2,1,0,2,2,-1.8901998741947486,-1.4368069272691397
2,1,0,0,2,1,-0.6922502445041571,-2.378764860909813
2,0,0,1,2,0,2.0953160721716335,-3.047084971200178
1,1,2,1,2,2,-1.4217669462667821,-2.209936337654542
2,1,0,1,0,1,-0.8640445472737669,-2.523160319353994
2,2,2,2,1,1,-2.1919915238269905,-2.769902924217225
1,1,0,0,1,0,-0.5593400639118677,-1.9336046390646198
2,0,0,2,2,0,4.73064087739324,-0.3480255189874333
0,0,2,2,1,1,0.16791611202860823,-0.6391323641457429
0,2,2,0,1,2,-5.842543490807408,-2.7393595682361758
2,2,2,0,0,0,-5.548072933244823,-6.4993290989707875
1,0,2,0,2,2,0.0018751342893037481,0.16577778925798048
0,1,0,0,1,1,-0.9669232129747549,-2.544343505250219
2,1,2,1,0,0,-2.78108640132497,-3.3408942186900057
0,1,2,0,2,1,-0.8213316440451606,-1.580529015280261
2,2,0,0,0,0,-3.1155465607515778,-6.0475007599242705
0,0,0,1,0,2,0.5777251874511364,0.06660526087550636
2,0,2,2,0,0,-0.1405763233530143,-1.4834221057208683
2,0,0,0,1,1,0.47170045273695904,-1.6476447719592648
2,0,2,2,0,0,-0.7012039160937455,-3.008983241239304
1,2,0,1,2,2,0.8552594014939551,0.6119292906056395
1,2,0,2,1,2,-0.2071270730857851,-1.5867566015543555
2,0,0,0,0,1,-2.741460811559006,-2.819339321490709
0,1,0,1,0,1,0.33676764041897345,-2.938509920591621
2,0,2,2,1,0,0.24620467632268828,-3.532825394134237
1,0,2,0,0,0,-2.6051194341376207,-3.485246304305628
1,0,2,2,2,0,1.3737400144113907,-1.896474501333035
1,0,2,1,0,1,-2.7565156509199644,-3.643256885280106
1,1,0,1,1,2,-0.3990171074175984,-0.2149689010570192
0,2,2,1,0,2,-2.0640059822322856,-1.6872157174498565
0,1,1,1,0,1,-1.514759925720576,-2.6059822545661
0,2,1,0,0,1,-5.751473159730459,-4.419035905923529
0,1,2,2,0,1,-1.7452444565761545,-3.4796095254733013
1,0,2,1,2,0,1.7922937927047125,-1.9701331946765763
2,0,2,2,2,0,0.906203138150044,-2.8366703744796276
1,0,1,1,2,1,-1.0904786917341802,-3.95808101580608
1,0,1,1,0,0,0.4230488854225438,-3.725087402704224
2,2,2,1,2,1,-0.8976074901872072,-0.6924058972447478
1,2,0,2,1,1,0.029987141187199917,-1.33788414352619
0,2,0,2,0,2,-1.2314177360820686,-2.4678105883289887
2,1,1,2,0,1,-0.0076480702082644125,-3.2847902565692038
1,1,0,1,1,0,-0.9519834002261922,-3.7143142722417752
1,1,0,2,1,2,1.9782564245159884,2.278575259395756
1,1,2,1,0,2,-2.3578047142757432,-1.9842848690842831
1,2,2,1,2,1,-1.2053180745126495,-1.1320849298133207
0,2,1,2,2,1,0.7655148053355955,-0.9440706420866969
1,2,1,0,1,1,-3.2549680367141782,-3.156631003448329
2,1,1,2,2,0,2.135640120209266,-3.147049239583195
0,0,2,0,2,1,-1.9653428321018338,-1.9423759208693057
1,2,1,1,2,0,-2.371925126830209,-4.760648610835129
0,1,0,1,0,2,-0.7555598771075253,-0.005132275111456086
1,2,1,1,2,1,-0.11876167193285203,-2.623051751707167
1,1,1,1,1,1,-0.6297588474882332,-1.9282107840332625
2,2,2,1,2,1,-1.1722716303819611,-2.0679145916839055
0,1,2,1,2,1,-0.9105403783375474,-2.4221467360116438
0,2,2,1,0,1,-2.7125172956144747,-2.9087148383702384
1,2,1,1,1,0,-1.8855581267545407,-4.410020788710142
2,0,1,2,0,0,-0.847113560815178,-4.190385618314083
2,1,1,1,0,1,-2.6418913122554,-1.666813578314167
0,1,0,1,1,1,1.7406396987758321,0.3185238916514248
0,2,2,2,2,1,-1.8149760820454324,-3.553550872634527
2,2,2,2,2,1,0.15978810429579898,-1.0788785939138235
0,2,2,0,1,1,-5.329110427623717,-5.573562902722908
2,1,0,2,0,0,-0.4982333383229731,-4.523659979889649
0,1,0,0,1,1,-1.9536274851541875,-1.839294499990452
2,1,2,0,2,0,-4.175028296679877,-7.175616037721735
0,2,1,2,2,0,1.0090375904337632,-1.5379022839718761
1,0,2,0,0,1,-3.7900380621921954,-4.190944388644532
1,1,1,2,0,0,-3.059206342561244,-5.03588628176605
0,0,1,2,2,1,2.919568090774252,0.3631007122723559
1,2,1,2,0,2,-0.254993822011065,0.003302395227835042
1,1,2,2,0,0,-0.16987565770342772,-3.9748710582968965
2,1,1,2,0,0,-0.7310435593485287,-2.756279655672083
2,1,2,0,1,0,-3.1339418614228842,-4.754315741600049
1,1,0,2,1,0,2.158156620895797,-3.054323952748476
1,2,1,0,1,1,-1.3976164146599017,-2.7204920040824816
1,1,2,0,0,1,-3.006431297124375,-2.1024511367732113
1,1,2,0,2,2,-2.9015376022298005,-0.4362970110475872
