c,d,e,f,g,h,i,j,a,b
1,0,0,1,0,0,2,2,2,1.9193795460173542
0,2,2,0,0,2,2,2,1,-2.1522412436298746
1,1,2,1,2,1,0,2,2,-2.4726189396539437
0,0,0,1,1,0,1,0,1,-1.7283664403010983
2,0,0,0,2,2,0,1,0,-2.868045103694402
1,0,1,1,1,1,0,2,1,-1.2074070003034012
1,1,2,2,0,0,0,2,1,-1.1558136068358829
2,0,1,2,0,2,0,0,0,-3.219861015824982
1,2,0,0,0,2,0,1,0,1.6113695301274444
2,1,2,0,2,1,2,0,2,-6.415982372787607
2,1,2,1,1,0,1,0,1,-3.8440751760379093
1,0,0,1,2,1,1,0,0,-6.013570814694027
2,1,1,2,0,2,2,0,0,-5.685851662848018
1,0,1,1,0,0,2,2,1,-1.163423610208996
1,1,1,1,0,2,2,2,1,-1.7676137626675477
2,2,1,1,1,0,2,0,0,-3.071640773425267
2,2,2,1,1,2,0,0,0,-1.8720515066531187
0,1,0,2,0,1,0,0,2,0.1179637463477079
2,0,0,1,0,0,2,2,0,-3.486599850939114
1,2,1,2,0,1,0,0,2,0.15107084367526172
0,2,2,2,1,0,0,1,2,2.0869753681131797
1,2,2,1,1,0,2,1,2,-2.7354197566188185
2,2,1,0,0,2,0,0,0,0.03101485541420533
2,2,0,0,1,1,2,1,2,1.801601872631193
1,0,0,0,2,2,0,0,1,-0.8650518771198621
1,0,1,1,0,2,1,1,0,-4.714720990684746
2,1,1,1,0,2,1,0,0,-6.545613864977379
1,1,0,1,1,2,0,0,1,-2.0783383683547028
2,0,1,1,2,1,0,0,0,-6.837526575987174
0,1,2,2,0,0,0,0,1,-1.4827041644214871
2,1,2,1,1,2,2,2,1,-5.690979840383723
1,2,1,1,1,1,2,1,1,-1.1107463903659398
2,0,1,2,0,0,2,2,0,-4.789498635586747
1,1,0,0,1,2,0,1,0,-0.2247625634133085
0,0,1,1,2,0,2,1,1,-6.767487458987317
1,2,0,2,1,1,1,2,1,-0.7018587989869975
0,0,0,2,1,2,0,1,1,-1.9330463322291838
2,2,0,0,0,2,0,1,0,0.9630901272349354
0,1,1,0,0,0,2,1,2,3.400412322375026
0,2,1,1,1,1,0,2,0,-0.8846160523842685
2,2,0,0,0,1,2,0,0,-0.1786268708783389
2,2,2,2,1,1,0,0,2,-2.443091150784296
2,0,0,1,1,1,2,2,2,-3.120673755343694
0,0,1,1,1,1,2,0,1,-5.1029947491967445
0,2,1,0,2,1,0,0,1,-0.06309633141780602
2,1,0,1,0,1,2,0,2,-1.1847203097345465
1,0,2,0,2,0,1,0,2,-2.4705176870520806
1,1,1,1,2,0,1,2,1,-1.69152193320342
2,1,1,0,0,1,2,1,0,-1.3419299067255142
0,1,0,1,1,1,1,2,0,-0.7749221709391616
2,1,0,1,2,1,0,0,0,-3.361919711242329
2,0,1,2,0,1,1,0,1,-4.781154693303054
1,2,0,2,1,2,2,2,2,-1.4955210450045429
2,0,0,0,2,0,2,0,0,-3.9314838946114974
1,1,1,1,2,0,2,1,0,-4.986445762226417
0,2,2,2,2,2,2,1,1,-7.08333749598903
2,1,0,0,1,1,0,0,2,-0.20915034136684196
2,2,1,0,1,0,1,0,1,-2.332692641135364
0,2,1,0,0,0,1,0,1,1.9366505583355402
2,2,1,0,1,1,1,2,0,-1.6469836753693485
0,0,0,1,2,2,2,0,2,-3.0971350250614282
1,1,1,0,1,0,1,1,2,-0.44190022159981235
2,0,2,2,0,1,0,1,0,-5.753888136011353
1,0,0,2,2,1,1,0,2,-4.1646574638637155
0,2,0,1,2,0,1,1,1,-0.34637550211579293
2,2,2,0,1,0,0,1,0,-0.4466114765593063
1,1,2,0,0,2,0,0,1,-0.4525894265639121
0,1,1,0,0,2,2,2,1,-0.0396646593360859
1,0,2,2,1,1,2,2,2,-7.233858930535885
1,0,1,0,1,1,1,1,0,-3.3632521826826967
2,1,0,0,2,0,2,0,1,-3.8127380121485874
2,1,0,1,2,1,1,0,2,-3.317317885265673
0,2,2,0,2,0,0,2,1,1.9084978536410822
0,0,0,0,1,1,0,0,1,0.8839478209229402
2,2,0,1,0,2,2,1,1,-1.6396616786673073
2,0,1,2,0,2,1,1,0,-4.862126710502658
0,2,1,1,1,0,0,1,2,2.85629894343156
1,0,0,1,1,1,2,1,2,-4.375128394500401
2,1,2,0,2,1,2,2,1,-4.9918596477214185
2,1,2,0,2,0,1,2,2,-1.149117926508363
1,1,2,0,2,1,0,1,1,-1.8340526906038295
2,0,2,0,2,0,1,2,0,-4.032870196791724
2,0,0,2,1,1,0,2,0,-2.8583094655203864
0,2,0,0,1,1,0,1,2,5.420910002669872
0,1,0,2,0,2,2,0,0,-3.6243012861140476
0,1,1,2,1,1,1,1,1,-1.9114131983868528
1,0,0,1,2,0,1,1,1,-2.061920013059909
0,2,2,1,1,0,2,1,1,-2.740663899233149
2,0,2,0,0,0,1,2,0,-2.558123841860592
1,2,1,2,1,1,2,0,2,-3.0917087973468855
1,1,2,2,2,1,2,1,2,-6.101824911274917
1,2,1,2,2,0,2,2,0,-4.953165124028194
1,1,2,0,1,0,0,0,0,-0.502915557901796
2,2,1,0,0,2,1,0,0,-0.9754458744872758
1,2,1,2,0,0,1,2,0,2.068831666414424
1,2,0,1,0,0,0,1,0,4.062238861772098
1,0,0,2,0,2,0,0,1,-3.0206130535398628
1,0,0,1,0,1,1,0,0,-2.8655867795886003
2,0,2,1,1,2,2,1,0,-8.362610950436917
0,1,2,2,0,2,2,1,1,-4.34261929035645
0,1,2,0,2,2,0,0,1,-1.684326854808045
2,1,0,0,1,2,0,0,0,0.48442849468107263
2,2,1,1,0,1,2,2,0,-2.32357634350104
