a,b,c
-0.3162425923435822,3.29105675926485,-2.5798743359508705
-0.016801157504288795,4.350280441430836,0.7790645557847098
-0.85304392757358,4.173573146076054,0.039248717672207833
0.8793979748628286,2.1441313991214423,-3.880410592826472
0.7777919354289483,4.845634726683296,1.8628175669410207
0.06603069756121605,3.0734078888283918,-1.0277947428054153
1.1272412069680329,1.6643667671424882,-3.1058293484825574
0.4675093422520456,2.4327540482732064,-0.737027146105014
-0.8592924628832382,2.775185030413655,-1.825517185756704
0.36875078408249884,3.553673130477734,-1.234409944626298
-0.9588826008289989,3.5462813186527224,-1.8740187973692664
0.8784503013072725,3.0423399600456618,-1.1358096006472596
-0.049925910986252896,4.22168418411918,-0.06171284855683978
-0.18486236354526056,3.9742423284435664,-0.7710775316667221
-0.6809295444039414,4.069470961301232,-1.4805153925663705
1.2225413386740303,3.7064185360469253,-0.9236516097870007
-0.15452948206880215,4.243221743698751,-0.5865770420633869
-0.4283278221631072,1.5848453355417025,-4.508628983192498
-0.3521335504882296,3.310073799852714,-2.9217385514714715
0.5323091855533487,1.2820357309777224,-2.912810890212508
0.36544406436407834,3.538353351350416,-3.8235349637012725
0.4127326115959884,3.4863112009926174,-1.0682782720461224
0.43082100300788273,4.5321352340677885,-0.7059478236860357
2.1416476008704612,4.26363896851221,0.8118855753921206
-0.4064150163846156,3.8903146521846748,-1.3631535569692008
-0.5122427290715373,3.212577177580269,-0.8879386081678347
-0.8137727282478777,4.2704665673252284,-0.886447273912563
0.6159794225754956,2.914247301257568,-1.7320045452562884
1.1289722927208916,3.3176539983036366,-0.705509470776312
-0.11394745765487507,4.603483706797937,-0.6190720095266427
-0.840156476962528,3.233866208481583,-0.5295789070200128
-0.8244812156912396,4.593554131008398,-1.1601437460980848
0.6505927878247011,4.111259099614374,-0.3541480578272466
0.7432541712034423,2.456827181780352,-1.3805330954317947
0.543154268305195,4.433537103824154,0.3335745956144891
-0.6655097072886943,4.448288675120791,1.6047335518562016
0.23216132306671977,3.636207169836645,-1.8872321474740152
0.11668580914072822,2.799671947778573,-3.339477303570015
0.21868859672901295,2.678308718209467,-3.0760263902856524
0.8714287779481898,2.843194516389412,-1.2563629170621506
0.22359554877468227,4.078931531586036,-0.1831455341445848
0.6789135630718949,2.4714355774613472,-2.1863077628912366
0.06757906948889146,4.011293271942536,-1.8716637771645934
0.28911939868998415,2.2788558154360112,-1.7142768912349278
0.6312882258385404,3.2344222413599013,-2.750282536290639
-1.4571558198556664,4.0493651513393685,0.4483147337162685
-0.31967121635730134,6.111851236984669,4.209289660124535
-0.4703726542927955,2.3255737815099033,-2.067975071918546
-0.6388778482433419,5.215345250068535,1.038453385726278
-0.27514225122668373,3.805876554281684,-1.446983214613875
1.4949413112343959,3.642386003319708,-2.927827317767108
-0.8658311156932432,3.9161473811545826,-1.4465719818756395
0.9682783545914808,3.8023400130932776,-2.0505552280054715
-1.6828697716158048,3.8402036408257754,-2.3668009355892403
-0.33488502998577485,5.124422588654044,2.0867825306496934
0.1627530651050056,3.094468120150076,-1.3926693618241508
0.5862223313592781,4.581541212653021,0.20122879326700494
0.711226579792855,2.774938500636692,-2.2940838645595574
0.7933472351999252,3.3393448171507307,-1.5935262652927054
-0.3487250722484376,2.601731465049406,-1.1937178527112602
-0.46235179266456716,4.1559881505870155,-0.6363489681081997
0.8579758812571538,4.829211745424817,0.5999056834495499
-0.1913043248816149,3.5585568581507334,-1.3974474396942822
-1.2756863233379219,3.6992790188971916,-1.4028738718348555
-1.1332872140034806,2.7473719682929083,-3.4195421973089535
-0.9194522860016113,3.5813758950880787,-3.156373167279049
0.49716074405376404,1.877887161705569,-3.1436747393608324
0.14242573607056525,2.6429398366242367,-2.0605634713825305
0.6904853540677682,3.651069561132871,-2.39506047557592
-0.42725264633653426,5.011553832862164,0.2170789678275316
0.15853969107671423,6.361161335371092,1.654913898361594
0.6255903939673367,2.8532732203769386,-4.062734785682441
-0.3093465397202384,5.099543326178297,-0.5755813333012035
0.45677523755741145,3.7241264233878693,-0.6286096828766621
-0.6619259410666513,3.5976145791096203,-0.7753266914946355
-0.3630538465650718,4.1097273749017695,-1.8039475414979909
-0.3817378939983291,3.7435335782395582,-0.8580183712607066
-1.1958396455890397,3.987397240553588,0.24980446591406014
0.4869724807855818,3.064793441784791,-0.9181335992243107
-0.46940234020272387,2.304546901849803,-2.5507388851641313
