d,e,f,g,h,i,j,a,c,b
0,2,0,0,2,1,0,-3.355001822101111,2.6936459777851587,1
2,0,2,2,0,2,1,-5.364950494378259,8.035448469483573,1
2,1,0,0,0,0,2,-6.248505620426917,-1.9184788939268205,1
2,2,0,1,2,0,1,-4.385533582488623,3.2880916652300805,1
0,1,2,2,2,0,1,-6.553853305117342,3.6489299995293516,1
2,1,2,2,0,0,1,-7.048155674725085,3.5972730247973703,1
2,1,1,1,2,1,1,-4.110145168331783,3.9792959573161824,0
0,0,2,1,0,0,2,-10.46871912747319,3.6505474947478413,1
0,0,2,2,1,0,1,-6.681076957276234,4.74207662017275,1
2,1,0,2,1,1,2,-3.1668045788003316,5.182616303047654,1
2,0,1,1,0,2,1,-3.8641736260964388,8.033312728387079,1
0,2,2,0,2,2,2,-8.565612735163544,4.144181673969555,1
0,1,1,2,0,1,0,-2.2138897255605,4.378011994870823,1
2,0,2,0,2,2,2,-5.919985581383524,6.914983197322315,1
0,0,1,0,2,1,2,-5.94471425281613,3.6900250601510924,1
0,1,1,0,1,0,2,-6.6594657783073075,-0.23118350065920712,1
2,2,0,1,0,0,2,-3.6877423671363863,-1.9775490322165958,1
0,2,1,1,2,0,1,-4.465185733620097,0.8911054835490921,0
2,0,0,1,1,0,0,-2.95188203684237,5.546134565184047,2
1,1,2,1,2,0,2,-8.550898129678234,1.303035001416806,1
1,1,1,0,2,1,2,-5.941518657104029,3.555582554960364,1
0,0,0,1,0,2,1,-2.9842238388688718,8.24199159807937,1
2,2,1,2,0,2,0,-3.2755783449501683,5.971705363892624,0
0,0,1,0,0,0,1,-6.512340864945702,-0.23391059289353988,0
0,0,0,1,2,2,1,-3.420962127604442,6.556835538276804,1
1,2,2,1,2,0,2,-7.536186198759996,2.7979171866915826,1
0,2,0,0,0,2,2,-5.839489862630371,4.103049068248627,1
0,0,0,0,0,1,2,-5.2146741721247,2.48590865978705,1
0,1,2,2,1,2,0,-5.023847512015982,7.744737980124877,1
2,0,2,1,0,0,2,-6.703330579466449,4.883473307512972,2
0,2,1,2,2,2,1,-4.229590913158476,7.643325641269193,1
1,0,0,1,2,1,1,-3.150619489568728,7.80949652316341,1
1,1,1,2,0,0,1,-5.4726634123205296,1.4159712786645469,1
2,1,2,2,0,0,1,-7.095342779603122,2.9384649155690954,1
0,1,0,1,0,0,0,-5.797394656560449,2.665511311633791,1
1,1,0,1,0,1,2,-3.917027753928031,2.7625629001630982,1
1,2,2,2,2,1,0,-4.574483774076793,4.1877687772965695,1
0,0,1,1,1,2,2,-3.803220838924996,7.473010001865854,1
2,2,1,1,1,1,0,-4.167350299812894,3.6272831627109454,1
1,1,1,2,1,0,0,-3.463086303369192,4.100429525759687,1
1,1,0,0,1,0,0,-2.597923430117691,2.0791453369150963,2
2,2,0,2,1,1,0,0.5275483673705823,4.197682385733296,1
2,2,2,0,2,1,2,-6.376739082342899,2.4200687944300983,1
1,2,2,0,2,2,2,-7.529779757924467,3.1523806602178146,1
2,0,0,2,1,0,1,-3.0449884528643127,3.8547655152938347,1
0,0,1,0,2,2,2,-4.323587977041473,6.441449152302281,1
0,2,2,1,1,1,2,-6.353597280784537,2.977699926260084,1
1,1,0,0,1,0,1,-7.816818120579299,1.7861073393402596,1
2,1,2,0,2,0,0,-7.579892689790495,4.155626718286169,1
2,2,0,2,2,1,1,-4.235425922992717,5.806226121004543,1
1,1,1,0,1,0,0,-4.613584870817002,2.8143798348695332,1
1,0,1,1,1,0,2,-4.36951572673197,3.5424151374979727,1
0,2,1,1,2,0,2,-6.079662677129128,1.325748966486366,1
0,2,1,1,2,2,2,-5.357365277814056,3.3380759941572933,1
2,1,1,2,1,0,2,-6.797163316534468,2.3767517285307918,1
0,0,0,1,0,0,0,-3.37514140756578,3.3715057412200458,1
1,0,1,0,1,0,1,-7.236280998159691,2.2445432705689274,0
2,0,1,2,0,2,1,-1.630377174866942,8.042504123345596,0
1,0,1,2,1,1,2,-4.097150894585559,5.289105620111507,1
0,1,0,0,0,1,0,-4.084953304635473,1.8258810203312208,1
0,2,0,2,2,2,0,-2.1440423186252997,6.797849935114994,0
2,0,2,2,1,1,1,-4.943379372359527,5.057536490511106,1
0,2,2,1,2,0,0,-7.903265535846936,5.57903201798498,1
2,1,2,1,0,1,1,-5.30990738744966,3.2310395599520403,1
2,2,1,1,0,0,0,-4.44007715497516,2.962829258439434,0
0,0,0,0,0,0,2,-5.685653696333846,0.22785413687080158,0
1,1,1,2,1,2,2,-2.7828139159011993,5.623991474243593,1
1,2,2,0,1,0,2,-11.096805767851171,-1.1846373951344322,1
2,1,2,2,1,2,0,-4.6568225034377315,9.471947023566608,1
1,2,0,1,0,1,1,-4.3830898772974045,3.143544930303042,1
2,1,2,2,1,1,0,-4.309455872712916,5.4871178897971395,1
0,1,1,1,0,1,0,-4.988292440087424,5.68176313473541,1
1,2,1,2,2,1,1,-4.063389822863641,4.605298392095447,1
2,0,2,0,0,2,1,-4.654453515281713,8.095347125862743,1
2,2,0,1,2,1,1,-2.816894735311199,3.985085848202052,1
2,2,1,1,1,1,2,-4.7053565288343275,1.3390067637992484,1
1,0,2,1,1,1,1,-5.278256510985359,6.409961376885527,0
0,1,2,1,0,2,2,-6.938243333826313,6.240388691133791,1
1,1,2,0,2,2,1,-6.30697390256791,6.737431848620442,1
0,1,0,0,0,1,0,-5.275054717503942,1.6827480072811256,1
0,2,1,2,2,1,2,-4.794478622533401,2.5228350593622273,1
2,2,0,0,2,0,1,-5.423197667644557,1.4486017245482752,1
0,1,1,1,1,1,2,-6.036729245313382,3.662033251653434,1
2,0,0,0,1,1,0,-1.4836361135847937,5.821190270762244,1
2,0,0,0,2,2,0,-1.5587630058501154,8.030729592235637,1
2,2,2,2,1,0,0,-7.37518209174144,5.738245801796421,2
1,0,2,0,2,1,0,-4.833323532031552,6.970971446734222,0
0,1,2,2,0,1,0,-4.720923056642765,5.497606446109555,1
2,1,1,2,0,0,0,-1.9949337172995885,4.411876439402405,1
1,2,0,1,1,2,0,-1.9936908026268145,8.513283975408786,1
1,2,2,1,2,0,2,-7.353101315009893,3.7961972107843254,1
1,0,0,1,2,2,1,-1.912889936698901,7.524773464128213,2
2,0,0,1,2,2,1,-0.2662335525752393,6.979984493938714,0
1,0,0,0,2,2,2,-4.213300558237892,8.988311907173657,1
1,2,2,0,1,0,1,-8.932957606460066,1.5425288708087828,2
0,1,1,1,2,2,1,-5.698100051176123,8.470304482962918,1
0,2,1,0,1,0,0,-6.39550652334664,1.4221268165800038,1
0,1,1,0,0,0,0,-7.088683245877927,1.8480235331979653,1
0,0,2,1,0,1,0,-4.619056954800468,6.383643973664379,1
0,2,1,2,2,1,2,-3.4095925339576167,2.371264420778469,1
1,2,2,1,0,1,1,-6.620935572908519,4.65038912874031,1
0,2,0,2,1,0,2,-5.83576250861768,0.36641873102167366,2
1,1,0,1,1,0,2,-6.992692307213275,1.5920344463065184,1
0,1,1,2,0,0,2,-5.602692346301126,2.3033139067002137,1
2,1,1,1,0,2,2,-3.1848917639848193,6.155151510449234,1
0,1,1,2,2,2,2,-5.517967096250441,8.165823109886716,1
1,1,2,2,2,0,2,-6.502667605138404,2.8057669580123896,1
2,1,1,1,1,2,1,-4.440781498004718,6.527883818791601,1
2,0,1,2,0,1,2,-3.351508586741944,4.891766650639025,1
2,1,2,0,1,2,0,-4.800678979824587,7.5329973808859565,0
1,0,0,0,2,0,1,-4.6343479462759,1.8357094538599439,1
1,1,0,0,2,0,0,-5.326493996611892,1.0906330791716305,1
1,1,0,1,2,0,2,-3.8071135732744272,1.8379066900315297,1
2,2,1,0,0,0,0,-6.013993108216021,1.4417081871310478,1
2,2,0,0,1,2,2,-5.602371251793816,4.451388910371036,1
1,0,2,1,2,0,2,-5.875682571976533,3.8414194983389507,1
2,0,1,2,1,2,0,0.1545642357912136,9.444682474023189,2
0,1,2,0,0,2,0,-7.840444191806123,7.1002942124566015,1
1,2,2,1,2,1,1,-5.7945072428726325,4.200267472662696,1
1,1,1,1,2,0,2,-6.141755929147572,1.7984092443009818,1
1,2,0,2,0,2,2,-5.815190019517603,3.254672170535743,1
0,1,1,1,1,2,0,-4.214974744357556,4.993823814900038,1
0,0,1,2,1,1,1,-4.8010322815917545,5.840699145064895,1
1,1,2,2,0,1,0,-3.985451389275905,5.860203948168305,2
2,1,0,1,2,1,0,-1.3286451928181928,4.995622518075055,1
0,2,0,1,1,2,2,-6.367145466505225,3.2199574284923034,1
0,0,2,2,1,1,0,-3.355797331377779,7.249739484271127,1
1,0,2,0,0,0,2,-8.70604189649205,2.777880692441199,1
0,0,1,1,2,1,1,-4.0124374590429035,5.351175966289035,1
1,1,1,0,2,2,1,-5.013363363315309,5.361596170887904,1
2,0,2,1,0,0,1,-6.006017566523539,4.369128877445539,1
0,1,1,1,0,2,0,-1.6087700071819646,6.889968448026192,1
0,1,0,0,1,1,2,-7.117972312092375,2.025945744107011,1
1,2,1,0,1,1,2,-7.504556990893667,1.6515614718544684,1
1,1,2,1,0,2,1,-3.8925462092450873,7.519115310915458,1
2,1,1,1,2,0,1,-4.641961357592701,1.6420269103779397,1
1,0,0,2,2,0,2,-3.784617575300164,3.3591762105310035,1
2,1,0,2,0,1,2,-1.602054490514456,4.287188689263076,1
1,2,1,1,2,0,0,-3.9966936357680094,3.094406583689917,1
2,0,0,2,0,1,0,-1.7284841593567224,4.036274077968405,1
2,2,1,1,2,2,0,-1.3709630631997833,5.028125844866584,1
1,0,2,1,1,1,0,-3.846744620996701,8.74202911630701,1
1,0,0,0,2,1,1,-4.595604148994315,6.23803445520422,1
0,0,2,2,0,2,0,-3.441692879898307,10.386407382025558,2
1,0,2,2,1,2,2,-7.950761034555381,8.686753098858071,1
2,0,0,2,1,2,0,-0.6547867552606333,9.571844022004164,2
1,0,2,0,0,2,1,-7.591818755547609,7.579097409015561,1
1,1,1,2,0,2,2,-3.925601680974391,7.621575453910079,1
1,2,1,1,0,0,1,-4.875532339290743,2.031348292999505,1
0,0,1,2,1,2,0,-1.1257174017063512,11.073552702131423,1
2,2,1,2,1,0,1,-5.860214276920373,4.380138403720771,1
1,1,0,1,2,2,0,-0.8534018337118556,7.799883062989422,1
0,2,2,1,1,0,0,-6.543639535169386,2.2264533159662903,1
0,1,0,0,0,2,0,-2.068331452328546,6.471861865160433,1
1,1,0,0,1,0,1,-6.430053036010498,2.7116587431828307,1
2,1,2,2,2,0,1,-7.0145104267595695,4.791673200593512,1
1,2,0,2,2,1,1,-2.9655863242323957,1.9991228175007905,1
0,1,2,1,1,1,0,-5.8635490978229825,4.726047529356562,1
2,0,0,1,0,2,0,-0.9243178066084409,7.251406299956081,2
1,1,1,2,1,0,1,-5.78081390310024,4.414941924635716,1
0,0,2,1,0,2,1,-3.9204916929958946,8.164583818920953,1
2,2,0,2,0,0,2,-6.556720485335116,1.3256967926846492,1
2,2,2,2,1,0,0,-4.62869643008075,4.694229407558374,1
0,0,0,1,0,0,0,-4.719899062624003,4.71942571155885,1
0,1,1,1,2,1,0,-3.3122767598509433,5.869357867609205,1
2,0,0,2,2,1,0,-1.1729524510037752,4.981525200237113,0
1,0,2,2,0,2,1,-5.184187560031876,7.981917914621985,1
2,2,0,0,1,2,0,-3.5175254034179533,5.1633671748356305,1
1,2,0,1,2,1,0,-2.9821337913654826,4.02679444791205,1
1,1,1,1,1,2,2,-5.282148994606948,6.953741067198739,1
1,0,1,1,1,1,1,-4.462704029453011,4.927933288085853,1
1,2,1,1,1,0,2,-5.811461425829887,1.5949179139753993,1
0,2,1,0,2,1,0,-5.055912297643384,2.5495916808376946,1
2,0,0,2,1,2,2,-2.079303956177496,7.036550325394792,1
0,1,2,2,2,2,1,-5.798448318587359,8.664208763184035,1
2,1,1,0,1,2,0,-1.5656571486472197,6.266326769570571,0
0,0,0,1,1,2,2,-2.674577665485507,6.073955622849038,1
1,0,0,1,0,2,0,-3.479510994436201,8.256279806704818,1
1,0,2,1,1,2,0,-4.012839886843247,10.452656665908119,1
1,0,0,1,0,0,2,-5.361051950885782,0.5995914865417244,1
0,0,2,0,1,0,0,-8.607021567307749,2.657119752559029,1
2,0,0,1,2,0,1,-1.6726342874080715,3.4268745387174335,1
1,1,2,0,2,2,2,-7.75342995625195,4.588955642020565,1
2,2,2,2,1,0,1,-7.283662456665084,3.0015276344605466,1
2,0,0,1,0,0,0,-1.5777706489330763,5.0660124867063425,1
0,0,2,0,0,0,0,-5.6357492555624304,2.3330227694031698,1
0,2,0,0,0,1,0,-3.952348439303073,1.0135339178111145,1
0,2,0,1,2,1,0,-3.394974351645823,4.660616350656309,1
2,2,2,0,1,2,0,-5.50750724622693,9.012344870433083,1
1,0,2,1,2,0,0,-6.335507386752132,4.92539204485479,1
2,1,1,1,1,1,1,-5.445033052207043,4.720766660734436,1
2,2,0,0,2,1,2,-4.991624058463678,0.7755679342347576,1
0,0,0,2,1,2,2,-2.62083430602412,5.306398025673641,2
2,0,1,1,2,0,0,-3.774449549644428,3.502472019158269,1
0,0,0,1,0,2,2,-3.3274019824612924,4.56725217600799,1
2,2,1,0,1,0,2,-8.053143227593825,1.7656005269370374,1
0,1,0,0,0,1,2,-7.39567485010028,1.2268483392227272,1
2,1,0,1,1,2,2,-3.7007530100056045,5.978400994385631,1
0,2,1,1,2,0,0,-4.899051794076083,3.1620427106604123,1
2,0,0,0,1,1,0,-0.7823468130010585,4.267868141529343,1
0,1,0,0,0,0,0,-4.301059851457443,2.4105679832690923,1
1,0,2,1,0,0,2,-6.845345824758613,3.6437862267738375,1
2,1,2,1,1,2,2,-6.728446020133032,6.664705624645028,1
2,1,2,1,2,1,1,-5.440561002282079,4.7235625880061995,1
2,2,0,2,2,2,2,-0.6570197507839235,4.164936405164621,1
1,0,1,2,1,2,1,-2.8886340474497088,8.53037858708933,1
0,2,1,1,0,0,2,-6.389142123545865,0.399325946750537,1
2,1,1,1,1,1,1,-2.2279422152320953,2.5490522712663273,1
0,0,2,1,1,1,1,-7.863079967960023,6.145913734712729,1
0,1,1,1,1,1,0,-5.598070925803308,5.378154987922488,1
2,2,0,0,0,1,2,-6.9980429897364935,1.6290677703508747,1
1,1,2,2,0,1,2,-4.830072503089845,4.442456600882693,1
2,2,0,1,1,0,2,-5.742430080326843,0.2735931745196242,0
0,2,0,0,2,2,0,-2.830079602736476,5.1303261238309315,0
2,1,0,1,1,0,1,-4.056762746560396,1.6774096350669927,1
0,0,2,1,0,0,1,-7.743040860216398,4.025225047521016,1
1,1,2,2,2,0,0,-4.920405069231387,3.6249158792010854,1
2,2,1,1,2,2,0,-2.5096869730641904,8.152518347026431,2
0,2,2,1,2,2,2,-7.136088430478241,7.469013318432667,0
2,0,2,2,0,2,1,-4.291431654786259,8.683674341351542,1
0,0,0,1,1,2,0,-2.2558753054453824,9.982497448048573,1
0,0,0,2,1,1,2,-5.1541952424233495,3.058308266644655,1
2,0,0,2,1,2,0,-1.1069254787429685,7.993763425659914,0
0,0,0,1,1,0,2,-4.836057209708586,2.9266786984956914,0
2,0,0,2,1,0,2,-4.425325389993052,3.2408264723403617,2
2,1,0,2,2,0,2,-3.3461157075496106,1.2605548668198727,1
1,1,1,1,1,2,1,-5.214010961831818,6.766617993959429,1
2,0,1,1,0,2,1,-4.712109815303508,8.572956274827938,1
1,0,0,0,0,1,1,-4.35724092279628,3.596026245110623,1
1,0,2,2,2,2,1,-3.054628504844114,10.516772049219187,1
0,2,0,2,1,0,0,-2.7168263155018275,2.1618754677348178,1
0,2,1,0,2,1,0,-4.1579798405234945,3.7383023262079886,0
0,2,1,1,1,2,0,-3.588894440655502,6.453317368758855,1
2,2,2,2,0,2,0,-2.463431707904223,6.649206356546152,1
0,1,1,2,0,1,1,-5.919415821780131,2.7697901037995516,1
1,2,1,0,2,0,2,-8.648003798812123,-0.05362122097527128,1
0,2,0,1,2,0,0,-4.765923847767011,1.1187708832887668,1
0,1,0,0,0,0,2,-7.008852603960373,0.1329767427646619,1
0,0,1,0,1,1,2,-5.977475408315986,4.101670052601993,1
2,0,1,2,2,1,1,-2.9513899273884747,4.9390777323861155,1
2,1,0,1,2,1,1,-4.050421698958611,6.075270813093794,1
2,0,0,2,2,2,1,-0.6436221534330094,8.315535946812401,1
2,1,1,1,2,1,0,-3.115074847842319,3.8596311438199256,1
1,2,2,1,1,1,1,-8.233081303286818,3.6146801490575755,1
0,0,2,0,1,0,1,-9.579807063558045,3.2202695019274934,1
2,2,1,0,1,0,1,-7.354463481589607,2.5982417082975795,0
1,0,0,0,2,0,2,-7.999809544653234,1.5589632357065293,1
2,0,1,1,0,2,1,-2.4730528219071464,9.79323307391791,2
1,0,0,2,0,0,2,-4.769465225335189,2.050518994403055,1
2,0,2,2,1,1,1,-3.9642296927307337,6.400828018113356,1
2,2,1,2,0,1,1,-3.5860583214509156,4.104547896651544,1
0,0,0,2,0,1,1,-2.0313318578147506,6.212527776508626,1
2,2,2,1,1,2,0,-4.9761176541076075,7.529591696562699,1
1,0,1,1,2,2,0,-2.2934652409838368,8.03356949841948,0
0,0,1,2,2,2,0,-1.8007223671995338,8.137829897639431,1
0,0,0,1,1,2,1,-3.244570214424345,8.58918073730311,1
2,2,1,2,2,0,1,-4.138497032801024,0.8284199002740824,0
0,0,1,1,2,2,1,-4.954895920970699,9.087989477410021,1
1,2,1,0,0,0,0,-6.258200792407729,1.2583651637777973,1
2,0,1,1,0,1,1,-3.40018192656913,5.016018052678992,1
0,2,2,0,0,1,0,-8.213273406200413,1.7949339710693617,0
1,2,2,1,1,0,2,-8.94230812117198,4.453899109473751,1
2,2,0,2,2,1,0,-4.2654774772988455,2.828263009740527,1
1,0,0,1,2,0,2,-3.9511695512505436,4.231968219034152,1
2,1,2,1,2,2,0,-4.0640621501813445,9.671999073902388,1
1,1,0,2,0,2,2,-2.3064643120769843,4.919207816904518,1
2,0,0,0,1,0,2,-4.824814698233165,1.0023569178236704,1
1,1,0,0,2,1,1,-4.76396027340744,2.7966026884019466,1
2,1,1,0,0,1,2,-4.983911779023134,2.441406049150749,1
1,0,2,0,2,1,0,-5.773144333426675,6.098350791121788,1
2,0,2,1,2,2,2,-6.802814105047165,8.754603500020616,1
1,2,0,0,2,0,2,-7.5959929625825415,-2.0893252601617833,1
0,1,1,0,2,2,0,-2.833857330815072,7.794937088910558,0
0,2,2,2,1,1,0,-4.616444579787186,2.9314924888434373,1
0,1,1,0,2,0,1,-6.395135713374453,1.7270549787330873,2
2,2,1,0,0,1,2,-6.711062766642179,0.8929037067517884,1
1,0,1,1,0,1,0,-2.8632587812358503,3.533065067065916,0
0,0,1,0,2,0,2,-7.674777047956946,2.201332801272637,1
2,2,0,2,1,0,1,-4.307778054478763,1.4004471842503634,1
2,2,0,1,1,0,1,-4.727573430848841,1.1196817789126903,1
1,2,0,0,2,0,1,-6.58239771328799,3.365366269115684,1
2,1,2,2,0,0,0,-4.8543971240395924,4.716319534916401,1
