d,e,f,g,h,i,j,a,c,b
1,2,2,1,2,1,1,2,-3.7947708804404288,0.5154631441197922
0,2,1,2,2,1,2,1,-4.217107740141596,-2.2368003562379073
1,2,1,0,1,0,1,0,-1.7310610725599216,-1.2124529794507846
2,1,1,2,2,2,1,2,-3.421326018941484,-0.6682300584503156
0,0,2,0,2,0,0,1,-0.6992899682697586,-2.1439212887641914
1,2,1,1,2,1,0,2,-3.536680605116178,0.08545564099447217
0,1,0,1,0,1,2,0,-2.2080131169488038,-1.0060827450010108
1,2,1,1,2,0,0,1,-3.503316306154664,-2.6344356587460496
1,1,1,1,1,2,1,1,-3.4636926794295264,-2.4742830015961514
2,2,2,1,2,1,0,2,-3.404677280496157,-0.5910668861103635
0,1,2,1,2,0,0,1,-0.7763799515992842,-2.2125044341416142
0,2,2,1,0,1,1,2,-3.3292899777756033,-1.010020051649563
1,2,1,1,1,1,2,1,-3.342616177137482,-2.24260819084195
2,0,1,2,0,1,0,0,1.167988540369433,-5.254853286689375
2,1,1,1,0,2,2,0,-2.3572915266653074,-2.4849797354502625
0,1,0,1,1,1,1,0,-1.3258022515535743,-3.5436997252731888
0,2,2,2,2,2,2,2,-6.443862200486851,-0.6214571756917706
2,2,2,2,2,1,0,0,-2.6509922744280563,-1.565075493805958
0,2,2,0,1,1,2,1,-3.837301644325284,-2.973094884673972
2,1,0,2,0,0,0,0,0.04133753083368097,-2.874530787415238
0,1,0,0,1,1,2,2,-1.5559352900962853,-0.8043740191616399
2,1,2,0,2,0,1,2,-0.34699519658112243,0.978923300334356
0,2,1,2,2,2,1,2,-5.44003369541569,1.4797439108394026
1,0,2,0,0,2,0,0,0.4974188232776589,-4.409282562794865
1,1,1,2,0,2,1,1,-1.5741133347983665,-3.1442506865608237
0,0,1,2,2,2,0,0,-3.5171691768511266,-1.8526230163155013
1,2,1,2,0,0,1,0,-1.5584452908308348,-3.2247779380411496
1,1,2,2,0,0,2,1,-3.279785492660901,-1.9466784527889964
2,1,1,2,0,2,0,1,-1.7226324101506776,-0.9066515313149468
2,1,2,0,1,1,0,2,-0.46963886865080906,-1.3045450549254527
1,1,0,2,1,0,0,0,0.06890699298252223,-3.561598530506408
1,2,1,0,1,0,0,1,-1.8764493984388726,-1.17660437533537
1,1,2,0,0,2,0,1,-0.26535913213849865,-1.9905058514798906
1,1,2,0,2,1,0,0,-2.0456034850220646,-2.9709305955719114
2,0,2,1,2,0,1,0,-1.8878745444905902,-3.1466871052882563
0,0,0,2,1,2,0,1,-0.3613079198604974,-4.4833421919893475
0,1,2,0,0,0,2,1,-1.9356774838906,-3.1697152042275927
1,2,2,2,1,1,2,1,-5.110449174431332,-1.1305283180018195
0,2,2,1,2,0,2,1,-5.010030295156458,-1.6022457399841954
0,1,0,1,1,1,1,2,-3.506095837524014,0.47444465091011456
0,1,2,2,0,1,0,1,-2.5182147979411513,-0.9145197000958958
2,1,2,1,1,2,2,0,-2.424017418840366,-3.8952527027804895
2,0,2,1,1,1,0,2,-1.0659842099971883,-0.5188373646500021
2,0,0,2,1,0,1,1,-1.6109258619829385,-2.0262718437328964
