d,e,f,g,h,i,j,a,c,b
0,1,0,1,2,0,2,1,-2.8600008653010525,-0.5212684501043314
2,1,1,0,1,0,2,0,-0.2860421971472531,-3.2838234364234946
0,2,2,1,2,0,1,2,-4.198554371872291,0.41621876279033126
1,2,2,1,1,2,0,2,-3.229895557156824,-0.17332149812243391
0,0,2,0,2,1,2,1,-3.843727213195052,-2.9334130729364576
1,1,2,2,1,2,2,0,-1.8391057454074233,-0.8876405420088507
2,0,0,0,1,1,0,0,1.1459607978896786,-2.084850805179684
0,0,2,1,1,2,1,1,-3.658520924300906,-1.6041610124240173
2,1,0,2,2,2,1,2,-3.2322426044639583,-0.9063988886883916
2,2,1,0,2,0,0,1,-3.6142513650001815,-1.6431087922084509
1,0,1,2,2,0,0,2,-1.526915398413855,0.8396927322839257
2,1,0,2,0,2,1,1,-0.35613175994037316,-1.4951703760134878
2,0,2,0,2,0,1,0,-2.3850877232121697,-4.053353281081835
1,0,0,2,0,0,1,0,1.2598486287113353,-1.3431201556830679
2,1,2,1,1,2,1,0,-4.5009195848145405,-2.3361805320490925
2,1,0,0,0,1,2,0,-1.261542259289118,-2.546348872113218
1,2,1,2,1,2,1,1,-3.7064609052427198,-1.9501020283095678
1,1,1,2,0,0,2,0,-1.6007825265866031,-1.5989053462870204
0,1,2,0,0,0,1,1,-1.086993477600784,-2.2006545680524376
2,0,2,0,2,0,0,2,1.710434251229679,0.6008023959182018
1,0,1,2,2,2,2,1,-3.5168678808557785,-1.4301694288273854
1,0,2,2,1,1,1,0,-2.7593239580977262,-1.9080114262373808
2,0,0,0,2,1,2,0,-1.5708317702559493,-4.726753474343821
0,1,0,2,0,1,2,2,-2.056037886975074,0.2325248350294026
0,1,0,1,1,1,2,0,-2.8693276555446983,-3.008184454640769
1,2,2,2,0,1,2,1,-3.6662178673462074,-1.3947248023499221
0,1,2,0,1,1,2,0,-4.48523200779357,-2.3588821357585377
0,0,1,0,0,0,1,1,-0.815470692488823,-3.9740251783325857
1,0,0,0,2,1,1,2,-0.3530773856465183,-0.10315236297063124
2,1,1,2,2,2,0,0,-3.3426202570997186,-1.142731752206972
2,2,1,0,2,2,2,0,-4.289772796703947,0.7517323863371987
2,2,0,0,1,1,0,0,-0.5840857335128565,-4.078708770960387
0,0,1,2,2,2,1,0,-3.5589213809484193,-3.277290614826362
2,2,2,2,0,1,2,1,-3.4219125046515098,-1.424920027384103
1,2,0,1,1,1,1,1,-1.333226941405744,-2.5157403360459085
2,1,1,1,0,0,1,0,-0.3516962413246534,-3.057222923285163
0,0,2,2,1,1,2,2,-3.142086834708499,1.2409715200038265
0,2,2,0,2,0,1,1,-2.179334081545112,-0.3661281710591162
0,1,2,2,1,1,1,2,-4.922663849937873,-0.9501078621568253
0,1,1,0,1,1,2,0,-3.9787567481633825,-2.833255516670378
2,0,0,1,1,2,0,2,-1.409575462578443,0.8306863165767205
2,2,2,2,1,1,2,0,-5.218179693101499,-1.2679757716690654
2,2,1,1,1,2,2,0,-5.151423724013654,-1.6514651834771201
2,2,2,2,1,1,2,1,-5.185455563127053,-2.6061240019572267
1,1,0,0,0,1,2,0,-1.2950920525725294,-3.6091434102830955
0,2,1,1,0,1,1,1,-3.2056667609199336,-2.420771721577192
2,0,1,0,0,1,1,0,-0.6855756236552918,-3.1271532713652896
2,0,2,2,0,1,1,2,-3.636189424109028,0.2173673172319531
0,2,2,2,2,1,1,1,-6.740173436224918,-1.3918362276162082
0,0,0,2,2,2,1,2,-3.1230196134708774,-0.6239601757220409
0,0,1,1,0,2,2,2,-1.8242904283914474,1.6650307539810916
1,1,1,1,0,2,2,0,-3.776229911017889,-4.1140634146105155
2,2,2,1,2,1,1,0,-4.161722907916468,-3.3739359543920986
1,0,0,1,2,0,0,2,1.1196016341747366,-0.6911233535140106
