d,e,f,g,h,a,c,b
2,1,0,0,1,2,-3.029625018151097,-2.224694056427149
2,1,2,1,0,1,-0.5689686162822118,-2.2372620660379936
0,1,2,0,2,0,-1.0106618413895332,-2.02249335897858
2,2,0,0,0,2,-7.544377938230677,-2.1076973879196697
0,0,0,1,0,1,-3.9249293819306135,-3.5822848625157366
2,0,2,2,0,1,-0.8685326647484564,-1.8377048395058684
2,0,0,0,1,0,-3.070328029370247,-4.668234109187624
2,0,2,2,0,0,-1.8514942003627302,-2.6035081564135854
1,2,0,1,2,1,-2.26067304623783,-3.1734343197134307
1,2,0,2,1,2,-2.9612858737574435,-4.869818539403567
2,0,0,0,0,0,-3.2717050327287946,-4.180808238110961
0,1,0,1,0,2,-2.9543129098825416,-2.032314673187262
2,0,2,2,1,0,0.2873180574836376,-2.691657392602137
1,0,2,0,0,0,-1.512472200714869,-3.1201226775983506
1,0,2,2,2,1,0.664201096372585,-1.7163851446406966
1,0,2,1,0,0,-1.955251806392699,-5.060880026475484
1,1,0,1,1,2,-3.863997591959224,-2.5900023436865944
0,2,2,1,0,1,-0.5489357224761491,-3.5763721553074888
0,1,1,1,0,1,-2.748203534671149,-4.624053730567322
0,2,1,0,0,1,-2.748195285845269,-2.9227058237747565
0,1,2,2,0,2,-1.5841177022901758,-2.519611804358616
1,0,2,1,2,2,-1.0098955128352889,-2.5595730667245964
2,0,2,2,2,1,-0.8646800350637693,-1.9824260914884568
1,0,1,1,2,0,-0.061614781645926486,-2.522430096974156
1,0,1,1,0,1,-2.1671135965258057,-3.731091618131793
2,2,2,1,2,0,-3.631861871413923,-3.432769083595654
1,2,0,2,1,0,-3.66098376958202,-4.791516332684759
0,2,0,2,0,1,-2.2746453264304627,-3.7780091666906737
2,1,1,2,0,1,-3.8853137362297687,-3.7039768176436434
1,1,0,1,1,2,-5.063015472134399,-3.487492413646705
1,1,0,2,1,0,-1.1871663381837196,-4.130105813423911
1,1,2,1,0,1,-1.4626123613378579,-1.4870477049981257
1,2,2,1,2,1,-1.355796947971463,-2.5520377289480494
0,2,1,2,2,1,-2.2942836082899634,-5.154346788125255
1,2,1,0,1,0,-1.8595241157866036,-5.473867764158211
2,1,1,2,2,0,-2.988755403214416,-4.5567288200204
0,0,2,0,2,1,0.7565586089415837,-0.7737620302469344
1,2,1,1,2,1,-1.8178177409327232,-3.6215787237077244
0,1,0,1,0,1,-3.6290546610421774,-2.3275810645112145
