a,b,d,e,f,h,c,i,g,n,k,r,l,j,q,o,t,m,p,v,s,w,u,y,x
10.201378736291748,1,0.5250450882131008,-45.35779358596486,4.7363655666309015,-154.3321946166674,-1.7845517612806585,-1.2875579167236113,3.2134555847851316,4.279595925593519,-0.07823942461595318,-0.7116150409958277,-12.598470891504189,-3.6558695866568516,-2.920183854897824,-1.2565399974627698,-61.93354417995455,0.314438356145036,25.200853650091943,4.974913976295695,9.464517389646973,-88.36736753890062,1.103859380474218,-13.464518945380211,-61.26886991749246
10.30023327107597,0,-0.9741026778557296,-44.52751861175211,7.401855883710568,-154.0704888745776,-0.9453391203552479,0.07039724383196377,4.817130400914999,5.815562077325358,-2.1044088938154775,-0.8128814577342305,-11.950896200478049,2.1851275226435063,-5.06798579479296,1.1382446877703831,-62.40367843772873,-0.36237181851913824,27.048236007856058,3.602360592651345,18.433896805416015,-85.77383643509056,1.5658964970444762,-11.042077802162176,-62.851861089039026
7.769119920428359,2,0.07918726483993044,-29.518348196463123,4.722173780453275,-95.76412981385228,0.45070396912848654,-1.9133059009710398,3.416067599129593,4.013531115677404,-1.3605966175144466,0.9622332502270691,-10.767053577900052,0.0514045001897524,-2.271837817650495,-0.1508583728048234,-62.882977258892296,-0.8613246984141145,21.135622459229882,0.8451235882656281,4.292024782577242,-56.17839854750718,-1.9703305207706474,-13.028788142729422,-36.32177785800421
7.282062968793982,1,0.9394602293706024,-27.116112105924135,5.344737226238001,-86.95414042973131,0.6277559267133229,-2.2124577873733196,0.9813413934830422,5.412935698405741,-1.6806025673168654,-0.8588711590793964,-11.842845636280938,-3.961839526957968,-3.640071147792989,0.11861887364324664,-63.06854321934037,-3.617012314751305,18.188361216793556,0.9466584341177233,8.916791103313152,-54.11169859494552,0.429981954985586,-12.258647730233047,-34.23986310201895
9.90224226821,0,0.33624604150665716,-42.7341028361743,7.864141244900561,-151.18396711640497,-2.9451637549013543,-0.5950012817150492,1.9699017205675853,6.427226869024534,-0.014946963026870597,-0.07794007235902256,-13.716562442577633,-6.011988868882399,-1.3698741197412772,0.23549809876158928,-64.19826070504138,-1.0650954059731514,25.379686436125628,0.8735267902191222,10.10462331661386,-88.69490657598686,1.8843259081261459,-10.572314301587795,-50.48666175568661
9.419548991875333,0,-0.8931161019698031,-39.394311324663995,5.6286164535524525,-136.70625423232136,-1.205344124728291,-2.637653025579158,2.501213644949873,5.360513477789515,1.3233527536240262,1.2463468511810747,-11.609229332760401,-3.0084299985219687,-4.883442847299595,0.11073589164633413,-63.294168307473434,-1.3822752332495938,21.837226197141657,0.4223880856085853,14.242461949809329,-77.3055676450747,1.887147882329737,-13.362811743575104,-54.15664913346665
10.421298007793425,1,-0.08036500209949737,-44.894431968168306,5.473801877812774,-155.260159262904,-0.18054794356649884,-2.9345403956700435,2.999159810491831,5.451776838110273,-1.374301317901626,0.10814010607848779,-11.312453392339851,-5.671875398982939,-3.6056535860519956,1.4155004237795905,-63.206189043206734,-1.030984841300924,24.345087720276,4.114496411432798,7.799324502324249,-90.92582644527205,-1.2055714644667417,-17.57537384071086,-65.13048913590166
11.286429167516264,3,0.7513143233312112,-45.87513961855931,5.480168098277119,-155.81289485201646,0.06040736488711684,-2.4617052581766186,5.399005203525617,4.51362522288367,-0.6147024393657063,-0.9993654292698381,-10.457888763251113,2.4732761958493423,-3.715500463475545,-1.085283349548625,-64.20676542706434,-3.1061833014735343,28.134831426180185,1.710135641206565,0.3073503008490921,-95.03846205873367,-2.229720574331978,-18.08554297790175,-62.72586388668903
9.855429149450675,1,1.4283952516622191,-40.937494803264826,4.8861014594632755,-151.82628909091386,-1.6928147340137278,0.2780828715161303,3.7722968309330245,3.83315474543896,0.8586968802085994,-0.836073697309988,-11.463897423604209,1.3160444872368995,-1.6153873832149186,1.0665235020766985,-62.63801443805455,-1.0631677168082074,25.90832654886081,1.3702928306778956,10.049897579341092,-83.78453611984047,0.0622965810180276,-9.1800641327598,-56.72717813374959
9.186941133024403,2,-0.8259177794614301,-39.89987086539876,5.591998046874095,-133.03134738721482,-0.6423261879510608,-3.218306454369183,3.077000384063118,2.8033287027468656,-0.8821700535867641,1.3497841886722346,-11.517125584635263,-3.068367210622246,-4.020691925745705,-0.09210125057915869,-63.64464986756237,-0.8313986979714799,24.27192358259747,2.9843442991121556,3.997812422170937,-78.97765133319176,-1.6518872136806193,-19.248979619130374,-55.33326038727106
