a,b,e,c,d,n,h,f,j,i,g,l,k,p,m,o,q,v,r,s,t,u
0,0.16003891617825555,0.41564025605970983,2.8982560578250363,-4.008763090997238,-7.17601335391394,-6.105954645823013,7.753849157017755,16.694871058026816,-13.554757638513564,-0.6032290905273306,8.331961261003187,-34.432194128838645,1.5800216215397502,4.423092885969193,-13.283868509698866,8.621723098087676,16.12330910144028,-15.411157121161525,-20.14622109053596,4.122218904411669,-55.18911788082791
1,0.8578225489021731,-2.108440986692341,3.9354236874175488,-3.6137504842666703,-6.996901458987573,-5.404430124896404,7.793640026692278,10.204582476510598,-16.785630127582916,0.7846296853351649,10.586741166398358,-32.50801392833581,3.1741418709130267,9.657398397114822,-9.295721454442143,19.06371715802917,17.718837343229755,-14.075689548254486,-19.883490832644586,2.7072475453964606,-61.70428042733538
1,0.8174825287186833,-1.597960277970939,3.91506656102407,-4.793918594903868,-8.329817853440149,-5.350322081389499,10.635605132778695,10.752232545071367,-21.831379937053224,3.297167615622087,12.819950404196938,-33.56301930555505,1.9698543527023062,3.4341822911044506,-17.57878076273826,2.2162810805628017,21.78200074146399,-15.681880560009338,-18.68566277251038,2.45458363230087,-50.290621749102996
0,0.7125573931938566,1.0366164733495424,3.3716063425435796,-3.0179403267324885,-7.3520719422790695,-4.692042512949314,6.08108591748856,15.722148722606823,-9.077201982397156,0.7035050194962269,5.9878919188985815,-36.01489333339439,1.4501947270726063,2.3536203229323287,-11.96356106212423,5.117841575856046,7.559444021830758,-13.71117229888716,-17.48414254698108,4.670472462361873,-46.06043911216793
1,2.4012500056508563,-1.4570591820680379,4.11892554837588,-5.40802089322138,-9.616634779687708,-3.8627266487174765,12.413816994509233,6.963549102317037,-21.379059631468536,2.289789977121676,13.08192748773003,-29.107767865700932,5.261872444574033,7.112529373461602,-15.235594994383245,6.100221327499333,23.635624692467196,-9.577793342901847,-20.047667650084907,0.6109709186744002,-50.70012814822274
1,0.6934333671790416,-1.3240007890655452,3.609251152626116,-3.8187251684792307,-5.351104234639037,-3.87126662315817,6.643830835234763,8.213402436555533,-14.996182787431199,2.554619990449692,6.3534393403366,-32.4663772112817,4.938315524456901,-1.0147756471864533,-14.601599849647274,-2.322223433867622,10.47073995281607,-14.13484052421858,-14.877444748849491,1.8187120541867705,-33.006982039595876
1,2.4184500561177615,-1.0922983969338935,6.005361479542798,-5.155571568318413,-11.879885332960852,-6.932536848578447,11.061882227152324,14.323299032931663,-20.343638216289957,1.5553308340010639,16.38325492434462,-34.23804956158038,0.7827483959509749,8.973828288003558,-11.493922365150107,9.386043391811318,23.192428687104623,-13.967659775168883,-20.700290010108134,0.08596645278029469,-59.422598970280724
1,-0.6027905127472091,-2.440648579993832,3.4369367210039505,-3.984207076612595,-6.991500045069188,-6.996877238145143,5.511381023142624,12.65723591270936,-15.138402704130995,4.157141170713915,4.122730750955497,-34.41709165596344,3.445376642244267,-10.946020712804232,-21.088757525701478,-25.743579234432183,3.293595176123031,-20.55493620071031,-14.15317800964527,2.375774296804038,-22.01690587606454
0,0.19059515313394415,0.39073352342428935,1.1736926120611537,-4.046653706451929,-5.621938751987325,-1.5017353716104422,6.868902374769361,6.834029532019281,-13.726775656775924,1.124618744860469,5.924507400743634,-30.24592213826168,7.781228540953051,-1.8562642254199808,-16.102212279261884,0.43032227558917313,9.192596874153795,-12.784694282605628,-14.716388929321235,5.105092645763351,-32.015570643186734
0,-0.847805080541904,-0.5679984989065155,4.350513777917628,-1.2442502462448486,-8.622202971934529,-5.435738827360599,0.5868516516121769,12.304675240630967,-1.7940931232821764,-0.21022170631914328,-5.363114900902914,-23.16428470702806,-7.435290529941581,-3.6188851581138897,-4.28560383866253,-3.806670886131676,-5.467862565725787,-13.093068376899014,-18.312142114331767,4.521926178844317,-13.17773673586095
