a,b
-1.9918382111213646,-7.848987364981632
0.9716229819862015,-4.195231890608736
0.016657300576047057,-5.444853436914928
0.20573134494682813,-3.5944336296956116
-0.7835948765056134,-5.843982700002886
1.2264980292859606,-3.8581709438683682
0.9432005776780167,-2.775943987892483
-0.12182388148769023,-4.998882009273355
-0.5558634579022823,-4.804113805941273
-0.3566913840585801,-5.516040016594433
-0.7986255424246492,-5.211872296484316
0.026564149240541065,-4.949377835317038
-0.6161677197005472,-4.130103939776025
0.5855425205420421,-3.9826037363417535
-0.35946857465874366,-6.563208298769714
-0.3539570639393583,-5.6410527846218335
1.5372530042019914,-4.526245879385699
-0.7257195225520553,-4.986313018593325
-1.5679158879454647,-5.58156739446998
0.36621519240744776,-4.176594546911374
-2.077868511409373,-7.383082768254528
0.26437863582572063,-5.67445651172493
0.9817201418926419,-3.864525668007233
0.0701150307541132,-5.396506104701231
0.009275074296206387,-3.8607698460410305
-2.050609352249554,-7.2406104484642455
0.5553036855587886,-3.787751724026962
0.39629256724661155,-4.883480390405533
-1.171997758374501,-4.878165368348423
1.9131707472462032,-3.9026512289797672
-1.2240162007402255,-6.378889498229561
-1.679290361717149,-5.899177562148631
-1.8110577699106647,-4.9348801466009
0.02597090732105973,-6.205354845042509
0.33787125014709696,-5.733511334814095
0.44097391093464255,-3.888784223542865
-0.3373599782154893,-3.5578418433672008
-0.8126750220358617,-4.772557709538264
0.8427645820080417,-3.24079509235263
-0.8975853865617808,-6.764535577111381
-1.2098402059798323,-5.747891888898559
1.4013156674932132,-2.8876333445724325
0.1775715081428498,-4.409681511755276
0.4712898953909813,-4.024354733374893
0.6258407046445027,-3.4202884215403433
-0.5717971089993171,-7.806859442759917
-0.5328625860015204,-7.370075653758165
0.6405816830656459,-5.3490650791454915
-0.6171512238777086,-5.330745177421789
0.3360206914446697,-4.853371119284633
-0.08945955292809644,-6.223001324720457
-1.1942715158413304,-4.37427005913665
0.9663907689328148,-4.041262605381538
-1.2893619498023041,-5.892953491966598
0.23296344452977213,-3.6330219115554736
0.06698467909483406,-2.6030485946911854
1.2666112172939297,-3.59276138117493
-1.1196252235034803,-5.734243471148973
-0.5431967015635717,-6.588489016375535
-0.10030654480682887,-4.948056709526898
0.1808470634830872,-5.87980789146033
0.8684571437377585,-4.384993554898377
0.31109857969145777,-3.7268657845052595
0.024860582209951868,-4.417408139478374
1.0283377898533,-2.8243094215868823
2.0960635427113052,-2.4526606062090845
-1.3555250416058353,-4.989990519106588
-0.0057465866492687,-5.788051925517281
0.7596398959857404,-2.823794296580765
0.08574265591638133,-5.286258883941574
1.434637767050995,-3.742846365175276
-0.3341724146117992,-5.447199638109907
-1.0140036793194538,-3.9821751978139446
