d,a,c,b
1.314807871505905,4.2396166035672485,-1.0549694178422908,4.121417446166878
0.38288573638504947,2.626891351241774,-3.651085230575809,4.267767085507128
-1.8919462533119105,2.9795943546686865,-6.5349660192880235,4.946209926575202
0.4483240659731595,3.0788101056471073,-3.442000177332349,5.484935388626623
-2.132046280731309,2.1001453629368347,-4.188061173451922,3.774428108579771
-0.6196659341286136,4.914226400699647,-5.168205781764697,8.771759989338982
-1.0078929496235447,3.270087764384061,-6.4454044953153105,5.4831119348465975
0.3858465525565008,3.520752143500995,-7.437933313755895,6.179396326667238
2.1284697324351645,2.8245590944495302,-1.3303719189128045,3.8965872872324363
0.029109946576669203,4.256808006489357,-4.847156698733696,6.5474594764968055
1.8478250129560454,2.6399193009193462,-3.9695617317072336,5.933212078104256
0.3310401549961956,2.7433332942702724,-2.8429560140439376,4.475661049458622
-1.6855973173848082,3.7768586627376974,-5.618424517763586,7.44371637608987
0.37884260345839443,4.1247533467661395,-3.6415261915550436,7.192100741454507
1.727350214164185,3.228917575422496,-3.52287193587459,5.493113185670131
0.18797358748610446,1.957788038205093,-4.102665752893121,4.646125458917421
0.09152017817320818,3.682619594262308,-4.451039406523531,6.917478643937849
0.15256251210246857,3.11433108699047,-3.4659567197943133,5.0599791131823935
-1.2756863233379219,3.6992790188971916,-6.377839214069969,7.822700531036917
-0.42725264633653426,5.011553832862164,-5.221727511371166,7.8495358074839015
0.2785759145118061,3.998269847865175,-5.303315857031234,6.837278311461402
-0.18924434093640552,2.9707926417616064,-4.8791311822031895,7.336112126499478
-0.9972468276014818,4.323895893947209,-6.561773457826296,7.114877410350767
-0.2862229498406692,4.743208668891727,-3.8387979215294674,5.542686264816274
0.3446049047503575,3.202868060003247,-3.541117416330578,4.7019945716543186
-0.9588826008289989,3.5462813186527224,-6.379182716850988,7.847124986267982
-1.2798409576400205,2.9794082924160903,-5.214127316214711,6.465417435099535
1.2225413386740303,3.7064185360469253,-3.4075288071598955,5.829160393895453
1.3634287120856987,2.945490383846992,-4.416331473295765,5.305726657675597
0.6991967316948878,3.925241452770092,-4.148709755674327,7.726880387856825
-0.3487250722484376,2.601731465049406,-4.144174390009104,4.807436531404596
0.26203581207438104,3.8686200906389514,-3.0245511064838624,5.776256557947543
0.7307746911386448,4.382080347051736,-3.512522490212888,6.535989291725155
-0.5294927090638024,3.796066966515322,-5.548701968378886,7.391655251366965
0.08398100331445427,4.593943399045556,-1.6164877676887222,7.150403416047698
-1.150864509185567,3.8329127426875984,-7.677826407315621,8.991720038812154
-1.6828697716158048,3.8402036408257754,-7.88987434803082,9.08901766183574
1.47927451067423,3.780297379405245,-1.6533241498610838,3.5651564309200316
-1.0356537528258116,4.801214473165036,-5.064161344884877,6.627750704234559
0.2677114623438358,2.9825784179813652,-4.098050888214134,5.216319210126122
-0.44065242156974244,4.273159158695988,-5.8852084457495435,7.689983794784218
1.6168743984986076,3.3662708037422497,-4.412215216361204,6.871426265288391
-1.0824271973882869,4.151334834186093,-6.419125686315789,9.281693995437923
-0.48403013157267616,4.614230075095428,-4.712806902980095,6.381013949813521
-1.040586052512433,4.214802804495323,-6.617379231782689,8.902853274087605
-1.4460578543884546,3.6966166879828863,-6.007479233706937,7.547561646599547
1.3506251209526567,4.971941729099002,-3.5731389831695446,7.502135073252453
-1.034308051674399,4.12645299549218,-7.462342651563496,8.659687281335223
-0.17040758116420443,2.8214115005866427,-5.044729749168952,6.351043374173774
0.7432541712034423,2.456827181780352,-3.094106106008705,5.0994240152345345
1.5647180216699044,3.831749255291481,-3.7372653785562884,5.629408247770973
