c,d,e,f,g,h,a,b
0,0,1,1,1,2,2,7.5988579483045156
2,1,0,1,0,0,0,3.391486666816156
1,2,1,2,0,0,2,7.816801101101086
2,1,1,1,2,0,0,6.003881620893263
2,2,0,0,0,0,0,3.6607349391966437
2,1,1,2,0,2,0,7.298714207508059
2,0,2,1,2,2,0,5.2938627691037485
1,0,1,1,0,0,0,4.6846767408375944
0,2,1,1,1,1,0,6.270324349276711
1,0,1,0,0,0,2,6.081889173969687
2,2,0,0,1,1,1,5.852467797611295
1,0,0,0,2,1,0,2.549059707397756
0,2,0,2,0,1,1,6.146078820737253
1,2,1,0,1,0,1,6.134845317687849
0,1,0,1,2,0,1,5.156146388646353
0,1,1,1,2,0,1,6.08004063674849
0,2,1,0,2,2,1,5.500108096628998
2,1,2,2,1,1,2,6.870031791178087
1,1,0,2,1,0,1,5.239356398941811
0,1,2,0,0,0,1,4.626420683334444
0,0,0,2,2,0,2,5.375359794927287
0,0,2,0,0,2,2,5.488539479221251
0,1,1,0,0,2,0,4.605260206688994
2,2,0,0,0,1,2,7.116656131955357
2,2,2,0,0,0,0,3.6005257405038
1,2,0,2,1,0,0,4.86915478821257
2,2,1,1,2,2,0,6.490054938302854
1,0,2,2,2,0,1,7.218557124836322
1,1,2,0,0,0,1,4.426336758314594
2,2,2,1,2,2,0,6.607755063434744
1,2,1,2,0,0,1,8.154837809973337
0,1,1,2,1,1,1,6.886007761550341
2,1,1,1,1,1,0,6.181703279325234
2,1,0,2,2,2,0,5.512394057315227
2,2,0,1,1,2,0,7.449831433543776
0,2,2,1,0,2,1,4.731375368694952
0,1,0,0,1,1,1,3.944360673485115
2,0,0,2,0,0,0,2.3913884790601005
0,2,1,2,2,2,2,7.2680547033302005
1,1,1,1,0,1,0,7.149393390122074
1,1,0,2,2,2,0,5.84460355739591
1,0,0,1,0,0,2,3.608474282114556
1,0,2,0,2,0,2,5.858645642681819
1,1,2,0,1,1,1,6.394051359755175
1,1,0,0,0,1,2,5.493829404008183
1,1,1,0,0,1,2,5.758364909849203
2,2,0,1,2,2,1,6.379215217591728
1,0,2,0,0,1,1,5.79916012597155
2,1,0,1,0,1,0,5.099897856027329
1,2,2,1,2,1,0,6.70786012856433
1,0,2,2,1,0,0,5.826701337698343
0,2,0,2,1,1,2,4.905739258400832
2,2,0,0,2,1,1,5.775053679276263
1,0,1,1,1,1,1,4.8573031983573935
0,0,1,0,2,0,1,5.495313383319506
0,0,1,2,0,1,1,4.091697342536186
2,2,0,0,2,2,2,6.357308022240826
2,0,0,0,2,1,1,3.3203483755712293
1,0,0,1,0,0,1,4.897895235384356
0,1,0,0,0,2,0,1.7574078060830933
0,1,0,0,2,2,2,5.196420662386498
0,0,0,2,2,1,2,3.9147507066456644
0,2,1,2,0,0,1,8.063660960369095
1,0,1,0,1,1,2,6.433970786899475
0,1,1,0,0,0,1,4.230473431186226
0,2,2,0,2,1,0,4.893529656610499
0,1,1,0,2,2,1,7.604624135219099
0,1,1,1,2,1,1,6.672187824527617
0,1,0,0,2,2,2,6.950607856388863
0,1,1,1,2,2,0,7.323432056601068
2,1,2,1,1,0,1,5.602802431169585
2,0,1,1,1,0,2,5.7676906703298165
2,0,2,2,0,1,1,6.499340648407096
1,0,1,0,0,2,1,5.357987981766737
2,2,0,0,1,1,1,4.9248246960847775
0,0,2,2,2,2,1,7.248848127434724
0,0,0,1,2,0,2,5.675290012859945
1,1,1,1,0,0,2,6.432087577969745
0,0,2,2,2,0,1,6.219265550513014
0,1,1,0,1,1,2,4.897861108152099
1,0,0,1,1,2,1,5.575894853771649
1,0,0,2,0,2,1,6.368626491767431
1,2,1,1,2,2,1,6.554564836450232
2,2,0,1,2,1,2,7.230870573054856
0,2,2,0,2,0,0,5.700266027604588
0,2,2,0,1,2,1,7.629586287641674
0,2,0,1,0,0,1,3.4038069120584913
0,1,0,0,1,0,1,4.049443746186827
1,2,1,0,0,2,1,6.209942164871586
