a,b,e,c,k,f,d,g,h,i,j,n,l,m,o,p,q,r,s
6.757138041836174,4,5.415600503501958,9.81008114225139,15.097876219872582,-9.882408313327458,-2.114823663944663,48.413618453635756,23.20846198028277,-43.9348447495054,24.231651702318096,-47.10393942369698,-66.82858676809194,-32.441732990496114,14.609079163199045,-54.20531357930938,-24.6464305848262,23.120905011184615,-17.924724795108045
6.772433100121077,0,6.4780888565354315,6.680674753909484,15.001379629192916,-7.777656844130663,-1.9958818152736768,33.2003290276984,6.6856616159942925,-37.0165993740514,22.99359964612265,-44.74720839926892,-61.76427323260139,-37.485690495767365,12.206787971639097,-47.31306148127257,-28.424611253202198,20.314160275518322,-21.395248617812918
6.797896660003136,3,7.972994284199835,7.347669896719493,15.354788326682913,-7.276982060934983,-1.869627265634516,37.159548908877625,9.237634612042307,-40.699390176198904,25.941853338844037,-43.26967932790826,-67.04069081896984,-34.97780385564519,15.953860489280695,-52.66426826485291,-28.45317908761447,25.710896350365573,-21.001219404344532
7.378852827808019,2,7.051361309717993,6.718861428016136,12.44848973241998,-6.253896059055964,-2.2394184259662673,35.559744017582155,6.917950752847249,-37.022659735767164,24.587128911857025,-40.747091458271626,-63.45792695800068,-33.43743318295887,15.325854617044719,-48.51767874345159,-25.59712163602965,22.633576761672554,-22.338412604786516
6.549651893872811,2,6.049192556071214,6.319681576954453,11.82889688307718,-5.327612045631855,-3.0333501763798214,33.04832233782285,5.806369013830383,-35.36105596778113,21.321895669612672,-37.932630092126786,-58.56849383490713,-30.78051331124638,14.204841061094713,-45.50668222270966,-26.42016573616986,24.417761885180564,-20.035738168507358
6.8397855375517125,1,6.754465141827145,7.5382232985199975,14.57003748217194,-8.765977462362493,-1.0010813035395465,38.508852551818144,12.074707800476867,-42.590622802391614,24.756609925104787,-48.35276016553276,-67.68816042510431,-38.17782385227477,15.45421010457807,-52.59850565200393,-31.4664946510737,21.88429275162873,-24.420074039520745
6.481013517540987,0,6.15134618870087,6.4939774382461035,13.452827941802886,-5.821383373267629,-0.6299026052299972,29.307754187622614,4.991593990994789,-30.076234191988302,18.536952851215077,-41.052978605639424,-58.98694649482898,-36.761017513892696,12.492270278588393,-46.76717489104114,-27.777344029534532,21.582701102060025,-24.61846920298545
7.349183289689921,4,6.559209755059816,8.895232907703644,15.056708582468817,-7.266532487370216,-3.2773053382816735,44.58423789018697,13.428929256048018,-42.69943148334894,24.705877814836562,-42.12510547686715,-66.29875440628463,-34.36253177713378,18.127268885184968,-50.26888663063119,-23.720327042713343,25.82312157437657,-20.825642082166812
6.921347250684101,3,4.045313898743027,9.669058220710285,12.541834999268577,-10.41893637662905,-2.5996607356054025,47.85264818562741,23.79655105984865,-48.68541329059464,21.01671472643741,-48.59446298473478,-64.30131015028572,-35.16249296740465,15.357767195082419,-52.29975261746506,-23.481044048850926,22.811430393925438,-19.509715643088484
7.748126754885011,3,5.924692578304964,9.258399248708159,12.936586270905872,-8.678618894550857,-3.4072741571432235,44.41824703900914,16.01458432156925,-47.14331499366403,22.057808992234264,-46.74898518981491,-67.03258113214461,-36.466762692016985,16.644295443140308,-52.12461691362943,-22.544223768609694,24.103252282221604,-19.708430117610924
