d,e,f,g,h,i,j,a,c,b
1,2,1,1,1,0,0,3.8800366086071296,-0.19101370828765085,0
2,1,0,1,1,2,2,7.170299106030471,1.4585126001412407,0
2,2,0,0,2,2,0,8.283153860909163,0.6711019363614111,0
1,1,0,2,0,0,1,4.3852152414999175,1.214687987234801,0
2,1,2,2,2,2,1,7.8526502469115425,-1.2202589475142431,0
0,0,0,2,1,0,0,7.296536973749218,0.2807611299666374,0
2,2,2,0,1,0,0,0.8984575671743644,1.2465040776022611,1
1,2,2,0,1,0,0,2.3855629798737863,-0.11539708497582768,1
0,0,0,2,2,2,1,11.194387491398935,-0.9385870199638133,0
0,1,2,1,0,2,1,3.4203847514929806,2.9410635839642114,1
0,0,0,0,2,1,2,6.19496210525663,-0.8847082325933888,0
0,1,2,2,0,2,0,5.4142702960906695,3.921175458162018,0
0,2,2,2,0,0,2,-0.5878141928355713,2.1307964310041054,1
0,1,2,2,1,2,0,5.656546512585746,3.9127956913929283,0
1,0,0,1,1,0,2,2.987428118927874,-2.2654550923253822,0
2,1,1,2,2,2,0,10.236408753501147,-1.9599322825200254,0
1,0,1,0,0,0,1,2.250679827497156,0.8856591177402443,2
2,1,2,2,0,1,2,1.79748388226335,2.403428522902349,1
1,0,0,0,0,1,1,7.41159325548842,2.2556205956831548,0
2,0,0,2,2,0,2,4.078073628411309,-1.8892869922860254,0
2,0,1,2,0,1,0,7.159094588335713,3.607737531263367,0
2,1,2,2,2,2,1,9.496162699919275,-0.39872372952515994,0
2,0,1,2,0,1,0,8.632839819942214,2.39721631428904,0
2,2,1,1,0,0,0,1.3002653398179282,2.002447603394536,0
1,2,1,2,1,2,0,7.479996066681906,4.018022126898225,0
0,0,0,2,0,2,0,9.792462160795925,3.1878896532147167,0
0,1,1,2,2,1,2,5.036101032887402,-0.28994619078196243,0
2,0,2,1,2,2,2,7.660056998418616,-0.11996948413356678,0
1,2,1,0,0,2,1,4.275938629645672,4.695641601147533,0
2,0,0,1,2,1,1,8.50664170529415,-0.036078486320798575,0
2,1,0,1,1,0,1,5.475325063026915,0.006033617560298299,0
0,1,1,1,1,1,1,3.0005955792247962,0.5474616047740011,0
2,2,2,2,1,0,1,1.8177280286939699,1.3034019917344488,1
0,1,1,2,1,1,0,3.671457464333654,1.7521714174967213,0
2,1,2,2,0,0,2,-0.2960519040310725,0.783633791974151,1
1,0,1,0,2,0,1,5.13739774912985,-2.0464784301749157,0
1,0,2,1,1,2,0,10.045226038898338,0.5370435857654794,0
1,0,2,1,1,2,2,4.320256095546069,-0.6977273960349119,0
2,2,0,1,1,2,0,8.55617512916282,1.7220090067513858,0
2,0,1,2,1,2,0,10.573469567271918,-0.9361536982750902,0
2,1,2,1,2,1,2,4.230088036783813,0.4868644184927957,0
1,0,0,1,0,2,0,9.4306071376349,3.404512110359142,0
1,2,0,0,0,2,2,5.210326628443383,3.654562269231519,0
0,2,1,1,2,0,1,1.2813753232337048,-1.4103386454057942,0
1,1,1,2,0,2,1,6.911769886909056,3.6220777791322467,0
2,0,2,0,2,0,0,5.586420818334718,-3.607707864889464,0
1,0,0,0,1,1,2,5.361399126121924,-1.0533329860112621,0
2,2,1,2,2,1,2,4.800132971592971,-1.2623354187054356,0
1,0,0,1,1,1,0,9.006966245879932,-0.6435039279402933,0
2,1,2,2,0,1,2,2.354369928224205,3.8791990897618165,1
2,0,0,1,1,2,1,10.937266546465077,1.1200970873832543,0
0,0,0,1,2,0,0,7.0779295085191025,-2.8874142439181902,0
1,1,0,0,1,1,0,6.101432706383558,2.6351182284992056,0
2,1,1,1,2,1,0,6.780885624413724,-2.784791393351788,0
2,2,1,0,0,1,2,1.5263085009281028,3.905814644948249,1
1,0,0,2,2,2,1,10.905021612434409,-1.1634660378576296,0
1,2,0,0,2,0,0,3.1051691201332714,-3.1705075763277453,1
2,0,2,0,2,1,2,5.117347803890061,-2.5502358194081833,0
1,1,0,1,1,0,1,4.000970368876554,0.15235836747071885,0
1,2,2,0,0,1,0,2.7247305542267424,4.490594676375863,0
2,1,0,1,0,1,1,6.863090295051681,1.917328450858094,0
2,2,1,1,1,0,2,-0.26512078470878975,-0.5222251960946999,0
2,2,1,1,1,0,1,3.7785577340501546,2.089725775918517,0
1,2,0,0,1,0,1,3.028160436838567,-0.9285711621817413,1
0,0,1,0,1,2,1,7.717906110117814,0.3466263541871073,0
0,1,0,0,0,2,0,8.752741626110977,3.2864634238929327,0
2,2,1,1,1,2,1,5.485680234339167,2.257758186829925,0
2,0,0,1,0,0,1,4.500782255964813,-0.5960476489338191,0
0,0,0,2,0,1,2,4.3192680258236855,3.1718456407278293,0
1,1,1,0,2,0,0,3.434689437475874,-1.3274693333295953,0
1,1,2,0,0,1,1,2.5153160798499408,2.3235690413144843,2
1,0,2,1,0,1,0,5.247415686931194,1.6346147124191555,0
1,2,0,1,0,1,0,4.332602495441731,1.9150566703593344,0
2,2,1,2,0,0,0,1.0984223739285286,2.769894100674253,1
0,0,1,2,0,0,1,2.4482227629534195,3.285598339928754,2
2,2,1,2,0,2,0,6.270705063468871,3.974400878799125,0
2,2,2,0,2,2,2,4.041812777340783,1.7471386872226167,0
0,2,1,2,2,2,1,5.915706765935203,1.9515992954983714,0
2,2,2,1,2,2,1,5.322923941652736,-0.0903600610453491,0
1,0,2,2,0,2,1,6.200338671978366,3.5080759350378687,0
0,2,2,0,0,0,2,-2.4794465426241605,3.063477338617447,1
1,1,0,0,1,0,1,4.140414082923091,-0.9678351842750655,0
2,2,2,0,2,2,0,8.68989576800846,0.13410651348224978,0
1,2,2,0,1,2,0,6.417602400190204,3.3856694969144754,0
2,0,0,2,0,2,1,10.250162766251027,1.946361100283847,0
2,0,1,0,2,2,1,10.91523149095129,-2.440500137894893,0
1,1,0,2,0,2,1,6.810625777804676,1.971686523452422,0
1,0,0,2,0,0,0,4.8732069891736955,3.1132844784708595,0
2,0,1,0,0,1,2,3.3703788309089093,2.3907871006595864,1
2,1,1,1,0,2,2,5.860944503611445,2.8700509857750527,0
2,2,2,1,1,2,1,5.7006415237969765,2.351400654689219,0
2,0,1,0,2,0,1,6.983118027694045,-3.4217614590670866,0
0,2,0,2,1,0,0,3.5807992279752985,-1.1885445296738155,0
1,0,0,1,2,1,2,5.286506558264367,-5.222942100626083,0
2,0,1,2,0,1,0,7.967039567101563,2.078275011044897,0
1,0,2,0,0,0,0,3.627591969632768,1.4022098698421777,0
0,1,0,2,1,1,0,7.211756598892454,0.5184235776430296,0
2,1,0,2,1,1,0,8.362351586747206,-0.7470489826410879,0
0,2,0,2,0,1,0,4.430102454930361,3.630476783636242,0
2,1,1,0,2,2,1,8.898878143443708,-1.6955617017444373,0
2,1,0,0,0,0,2,2.119473277598655,0.435660255973667,2
2,0,1,0,0,2,0,9.672081224338,1.0996801196710777,0
2,0,2,1,0,1,0,5.675220590714979,1.0996147422987537,0
2,2,2,2,0,2,2,1.5634726018216918,4.131326311562154,0
1,0,2,0,0,2,2,5.725443605862542,2.404625839442219,0
1,2,0,2,2,1,1,4.1799596883503005,-0.1424988456224527,0
0,1,2,0,2,0,0,4.204135989515276,-1.280956614090667,0
2,0,2,0,2,2,2,6.373824248764467,-1.8954572863163612,0
0,1,2,1,0,2,2,3.0101228462599807,3.1150607235026047,0
2,2,0,0,1,1,1,3.5350976474221354,-0.6593648925182265,0
1,1,2,1,0,1,0,2.8226308231596344,3.232889821963804,0
0,1,2,0,0,2,0,5.35227211042922,5.221164446982078,0
1,2,0,0,0,2,2,4.185697492214291,3.154108405663816,0
0,2,2,2,2,2,1,3.227692743037556,0.7275608051048108,1
2,0,1,0,2,2,2,7.79308843856288,-2.85774366543642,0
0,1,1,1,0,1,0,3.6636691881701124,3.3690102886700313,0
2,0,0,2,0,1,0,5.816580130310842,3.477648160610322,0
1,1,0,1,1,2,1,7.06593450862217,1.1839745905826473,0
2,2,2,2,1,1,1,3.0691935058056776,1.9243089233954704,1
2,0,1,0,2,0,1,5.889993711048044,-3.0235058217181403,0
2,2,1,1,2,2,2,4.709910728078038,-1.0722013664839403,0
1,1,0,0,0,1,0,5.3769737226446415,2.54315261126371,0
1,1,1,0,0,1,2,3.390317003775195,-0.8538100695406416,0
0,2,2,2,0,0,0,2.4166738899983327,2.935027819225577,1
2,2,1,1,2,1,0,4.636262535061406,-0.2685490928734534,0
1,1,0,2,1,2,1,8.742022982366716,0.04729673024536729,0
1,0,2,2,1,2,2,6.279030914987145,-0.4385925141417253,0
2,0,1,1,0,1,1,6.928666612513064,1.2021202766706292,0
1,2,2,2,2,1,0,4.4249580604402485,1.7367804698646534,0
0,0,0,1,2,2,2,8.68866999650015,-1.0128689599525815,0
2,2,1,0,2,1,0,5.763516009910109,-0.47777253954850235,0
0,1,1,1,0,2,0,6.656630230412449,6.284672204786112,0
2,0,0,1,1,2,2,8.550316202239193,-0.29178772940820596,0
2,2,2,0,2,1,2,2.5234061811352078,-0.18040993245425996,0
1,2,0,0,2,2,1,6.787540597177656,0.06439214680214361,0
1,0,0,2,0,1,1,5.320486249029981,2.9618100286606976,0
1,1,0,1,0,0,2,2.5758105818763126,-0.06007913262116671,0
0,2,1,0,0,2,2,3.79580291822989,2.2376435008871787,0
2,1,2,1,2,1,2,2.849084133605807,-0.6719523844160391,1
0,1,2,0,0,2,2,1.557536505965366,2.355273925142564,1
1,0,0,2,1,1,2,8.033799452654115,0.23808087565219754,0
0,1,1,2,0,0,2,-0.9925184400893061,1.7299314748173176,0
1,0,2,0,1,0,0,4.674575795397612,0.5830622723963332,0
2,2,2,1,1,1,1,1.8335806725624604,1.1538211776966034,1
2,0,0,1,0,2,2,9.121271996299688,0.6963759333129407,0
1,0,0,1,0,0,2,3.3963717421605755,-1.441799289777087,0
2,1,1,1,1,1,1,4.218502571781881,0.7455257854127852,0
0,2,1,2,0,0,2,0.2959439164664426,0.3357764934220109,0
1,2,1,2,0,1,1,4.508461431641925,4.296507969855375,0
2,0,0,2,0,1,0,8.776828974830964,0.49946720817437984,0
1,2,1,2,2,0,0,5.1943640453404445,-1.1387225638239609,0
1,0,2,0,0,1,1,4.175951547534385,1.6828204898326298,0
0,1,1,0,1,0,2,0.28152049260545287,-0.8612470390402429,1
1,0,0,2,2,1,2,6.245563644613958,-0.7883469844804059,0
0,2,2,0,2,2,0,5.64403078976224,0.349793691538808,0
