a,b,c,d,f,h,e,g,i,j,m,k,q,n,o,l,r,t,p,s
2,-3.4901606965901273,3.790222518294785,-1.9538414620943063,-0.18505473895126415,7.02553650188814,-2.167273540668326,4.429177390641192,-3.642397754632717,-5.534485093753714,-8.067644494306654,-1.6905999374966734,-0.15275687837642327,-27.874787212009522,4.698428187290102,-0.3171943533551027,-2.9329792858850183,2.1691707991493487,2.9349691463531715,4.4091095488891785
4,-2.8391250161104904,0.500303858659509,-3.033875962411897,1.2014203668415369,2.3918854277424844,0.5838328812288327,2.3097788190370014,-2.3168829875969195,3.167323981838996,-5.07180905562072,-1.3071089035198449,2.0873613039874614,-11.298062709595227,1.3184400202497688,1.7767220619199269,-0.19772735265728547,0.7224506262297283,13.85201203780183,5.841609238415128
1,-4.068436361573673,2.7172151574892145,-1.128746989253243,0.6906929734872453,5.969206698947052,-1.9513715046695805,1.8518562142980652,-3.2553758029674222,-4.237196060907222,-6.988938766873522,-4.998902366206494,2.872720727540815,-23.96502615362511,1.9235757154239854,0.869176559230145,-1.893113035256087,-0.03385343177408684,0.05623924289657267,4.651427194331449
4,-2.7533359537415962,2.850180166369188,-4.434579397180597,-0.06682978534783068,4.782495309083898,0.38190267123946964,4.522840416137161,-1.1661737270560384,1.9960783487407046,2.7292806881029255,-0.9591805362276293,2.3060244028239003,-2.718315147309264,3.6427855483402585,2.184370424774559,-1.9329713113443538,1.4350402534488782,11.037383917673226,7.461108995247712
2,-3.6278942159995866,3.425453376593493,-2.02302017378812,1.1262809533596554,4.980189654695935,-2.4347334166916363,3.963332901067181,-3.5140340744493113,-3.5185435865201637,-1.3130384024246333,-2.2383254617786252,2.3848056199845367,-1.3883516904710933,1.3187922313387939,2.996051737909968,-2.1204279282037364,-4.17373878459984,1.3793418544003961,4.893789238443981
3,-3.4185153415988188,2.6823786313470612,-3.12278134602995,0.24794196846568395,5.01420542817054,-0.38494844395996325,3.3548801849493826,-0.7004617428476597,-0.3768442966322434,2.8295901601811884,-0.3677508864069348,1.9785989497999474,-3.746125096441408,-2.1872465791185585,4.125872639251069,-1.1058762826844604,-7.72795241350687,6.198284974567745,7.117862796187066
1,-3.620639299369032,1.5805256402216084,-1.4836312327711243,0.441922908947868,5.051132434397615,-1.97688103251366,0.5536784056187043,-2.3505924625931565,-4.485616289000084,-5.193414009047342,-5.2350321721471005,2.075663018701001,-15.189254268139157,2.746597087580552,-0.19969356221628565,-1.1529108533805839,3.3389624106780595,-2.2387931929824068,4.6390206039857595
4,-3.5578476657585525,1.5871373294378879,-3.330102860566113,-0.3737003170516271,6.105162374726408,-1.0717232148480833,3.430365727773114,-1.543368627051319,2.4715857766606084,2.1909812306711203,-4.022945973807139,2.1342985533387795,0.7121925402945106,2.7920114383560533,-0.9978540530046314,-1.7782077433328085,2.8824230793235515,10.390378376196923,7.585285869027322
1,-2.9428923131831635,2.3591927811762,-1.697899085256221,0.5882041769780809,5.072348870753461,-2.3734938877653318,3.5541513122281243,-1.0089432283283108,-2.1336289305738925,1.3536887722352855,-3.740447363338071,3.6779659268518685,-1.1449483885634826,0.2064061634826312,0.19695402812065688,-1.1896706000464572,5.638840167236864,-0.8250469472278168,2.920949993408992
0,-1.1938662842519794,2.7412388609099563,-2.1200563460480906,-0.048802272646340183,7.26848866186149,-1.3946072841429902,0.6063751809153202,-4.8830976468053136,-5.550395619711171,-8.742946591081088,-4.431175034043734,1.3935843490746218,-33.16897880419026,3.2457921593313466,1.268621891573524,-2.251069911371659,0.7841816273569725,0.4434132310405583,3.6338200101215707
1,-4.264794484371366,3.663434750391059,-1.674762448149234,2.9001997010054215,4.764174104545346,-2.257148484819121,2.8493700053241557,-3.111715664146821,-2.646190483337801,-0.7762306424336642,-2.5896436022217335,3.8018374688598664,0.5017024830009316,-0.8160916450541289,2.0220185741665713,-3.076560484985061,-2.612161167828523,-1.9614328286742122,4.095353535703213
4,-1.901551574332692,3.71808430277879,-4.377793780748308,-1.834063381105837,4.118290853230856,-0.5774834219844294,4.929616630740683,-0.9102683175318234,4.106582079467207,-4.740602401095817,-2.2835829583404164,1.2107966073700247,-9.826136656741841,2.187295883874606,0.7941901343794739,-0.5955770005070224,5.485734365083456,9.867441588278426,6.910082080056731
1,-1.784259078698513,3.006292926028929,-1.3589032163198254,0.38910607767117966,7.605281638950556,-0.03574447667229963,1.9653356016335262,-3.1362146432679703,-3.025368326086759,-3.033297114974506,-0.5462163764654093,3.422657742365338,-6.442412626189722,-0.10135281166928828,1.5212171722787764,2.203012499128763,0.7571798749114583,-0.4390942233445476,4.440120843478871
3,-2.9321694046890197,3.973785542781706,-0.6324948416857441,-2.837346621806936,4.333351033248815,-2.046160381202596,4.418994814341903,-3.333236321659083,1.617608345392313,1.9435405429820412,-2.1082996030865697,2.682831117802929,-0.6428996693860753,3.5336747484663897,5.526552110320343,-5.176752023734115,-12.967353413828345,9.904166664094367,8.863178281611534
0,-0.7704850157937362,4.088360450461228,-2.1242299176023516,1.1860886016182977,6.860886730793742,-1.7544228908899537,-0.8516317183872959,-0.7497435873757905,-5.5327561720814815,-13.2312146398939,-5.15073495602695,3.5201206992936163,-42.45419432527436,4.0555865861495235,1.7521537217938348,-4.204586734878466,-2.0399208561265314,-1.5256540529549008,3.473082495015788
0,-0.06862342492932072,3.044884804988163,-3.026968630820385,1.0204433329873923,5.091806823480975,-0.6683839003748164,0.25126103979662573,0.24695931337583343,-4.0668423068578505,-5.290889365569373,-3.258506688904558,2.858365874024778,-12.570974090428555,2.1705772542151793,3.0620927365138257,-2.126409044862777,-6.754181403546593,-6.903864837607082,1.6015152775657866
3,-2.4811102299399668,3.5186834202619552,-3.175484388769687,-1.670013765318196,5.765194749765,-2.0810946777893435,4.524982523911336,-2.0920142584550203,-0.09499793428257752,4.182097825589035,-0.6053582536652953,4.705944745637686,-7.100780191802902,2.2209636709319946,5.365020901458033,-6.156866581730651,-12.753486744787216,6.785193917484698,4.839556319890561
1,-2.6735684058075018,3.371614714567368,-2.5580777175327025,0.19982541057665604,6.377080246794208,-2.4858514397919818,2.5298497445148005,-0.45603192224148104,-2.0957765137907547,-2.7759735639361276,-3.58314377254942,3.213628765012956,-1.3802461222589388,1.983683497969023,0.2020350688717711,-3.2520780469377666,4.326699448957804,-1.1122706323297484,5.5494681462626065
3,-4.024658784465982,3.9310780345335607,-2.537183322099361,-2.3608273228092673,4.479637521074352,-2.1260173966077263,3.4610199716723447,-1.1262377930939997,1.6026418923347805,2.9249616909265876,-0.5455485638989042,2.8103557522852327,-2.1590237592283383,2.062627855114888,4.520961360553923,-3.0703935158666202,-10.213609204082566,8.094972328223463,9.157850790131826
0,-1.2624198739608323,4.71480941068676,-3.3721384360501996,1.5406984556077103,5.06026044988169,-3.502493303814736,1.9379879403810358,-2.7857153222593833,-6.1795906874783615,-15.821668240173375,-7.039566181224328,4.680515769233546,-41.27390143345118,7.038940071639088,4.642790893500891,-3.3952970559195617,-9.001558510980733,-3.424141400191751,6.371132759157746
3,-2.3126012177873134,4.521444350343725,-2.8556190993288544,-2.6578993071721966,4.238054669151669,-2.071662451017141,4.810667777253828,0.10308971914995002,2.4096414071623196,-0.4838686153357843,-2.4589228248456667,3.64034865931839,1.5727568149648166,3.0400488534138783,3.5445986074317264,-3.8033064070375033,-4.688749211253759,7.091682234517143,6.7880930795441685
4,-2.9298751658929314,2.0330481484318446,-4.1821174835275,-1.5806342707174006,5.0137465033941275,-0.07727513823585516,4.627292163929472,-0.5233741513222377,3.4504588182215192,-1.0876834351858795,-0.08897058349409459,3.994502699216141,0.17257746867873847,0.14833040497626435,2.20425657171274,0.1891731612116343,0.879214045286375,11.632018280861688,3.231985914053589
4,-2.227041029997425,3.959859262465396,-3.724784922799877,0.11498756865883553,5.721958235979868,-0.7569548079102505,3.0691461210352915,-1.310685951701613,2.3557521944439457,0.9932676096685318,-0.04062663359595309,2.089258265446163,-0.040518592434303224,1.657499157677054,1.7807028032865269,-2.454655223289375,0.9624596812026257,11.901288285728112,8.420588662830834
3,-1.8978885344499812,1.4005706415295243,-3.014128157779545,0.4433846718365767,3.6185664098702306,-0.9848681379236366,0.08932119405647487,-1.0955920738294986,0.5630603642925597,4.164858335183003,-3.311056622060602,1.5436394871398862,-7.509782283965928,1.7529771573553323,1.1744263859338784,-4.024397776497813,2.1921637526381286,7.983360321845385,8.1400267137345
2,-2.2160666716868804,2.9530302302195897,-2.0546230824478853,-0.25072747598388956,5.891306384818751,-1.936971264492004,1.3244145719337297,-2.4674565996584663,-3.0188200965412224,-1.8284006317497654,-2.497733709810035,2.3814998310220012,-1.3413073958795585,2.5243182271904527,1.8958901185807089,-2.4454048207496837,0.43619644141432945,4.720588005098057,4.117439450486545
3,-2.302294130889584,2.7292125921654034,-2.806020721338164,-1.2305638568690216,4.793284298605871,-2.727288609778701,3.155942992706725,-0.5596614664570789,-0.1660557852408897,3.2708911684974735,-2.1983564997586975,5.452244638408851,-0.44164229666330157,-0.02641775732428231,2.1105569098158554,-3.591892226743881,-1.3221175234081899,8.321376329462247,7.024925654460901
4,-2.279541325904958,3.8788860100602434,-4.672984531999835,-2.2137784717797038,5.518175532812043,-0.895516836881061,3.7396740619736377,-2.3457383875627578,3.6128115330571466,-2.425533061109885,-0.3703582053096601,2.694005471553624,-3.5863149541217583,2.5909959338329207,3.402699081310501,-0.22574936547377622,-2.6449043010122923,8.871553397074592,9.075831301757136
0,-2.5128608101082284,3.127871411838263,-5.347478061384857,1.6531673900070418,3.5715550805714127,-1.775896348783645,1.283776918707096,-2.364489228748296,-5.655286803029099,-11.683936642485746,-3.835032099821716,1.5098711854938331,-44.49019891394724,1.9630359093695224,4.232010159573447,-0.3645980466217289,-8.359805865353229,-5.062884495792558,7.084263908147641
4,-3.731874745039293,3.0433204153589037,-2.9011063466847937,-0.6407416114825732,5.444878752307478,-2.3964659305201597,4.100344054909892,-2.7537348206583925,0.544182836929053,4.249274167216751,-0.038820109993945584,2.563079998206355,-3.633084782211938,-0.4521820957534599,2.113829158979981,-0.5258325724993198,-2.189474154349246,13.119041395324462,8.678471541965834
