c,d,e,f,g,h,a,b
2,0,1,1,0,0,2,8.778099996239822
2,0,2,0,1,2,1,6.290286221469199
0,2,1,1,0,2,0,-2.347387924088619
0,2,1,2,1,2,2,0.7146223395934919
2,2,0,2,1,0,1,1.486631066473156
1,2,2,2,0,1,2,6.186679178718283
0,0,1,0,2,2,0,2.0644978459567564
2,2,0,0,1,2,0,-1.646635475304289
0,2,2,2,2,0,1,2.7443542832792365
2,0,0,1,0,2,2,4.536449677829961
0,0,0,0,2,1,1,1.2280186796945227
2,2,0,2,0,1,1,0.733965152499215
2,0,1,1,1,1,0,3.2082643872514875
2,2,0,0,1,2,0,-1.7122463077228702
1,0,2,2,1,0,1,6.5019222833936485
1,0,1,1,1,1,0,1.635847565154436
2,0,0,1,2,2,2,4.647503207921966
0,0,0,2,0,1,1,2.4473620136715537
2,2,1,1,2,0,1,5.330546768846384
1,2,0,1,0,0,0,-3.7543669485340434
1,2,2,1,0,1,2,3.4405287956239414
1,2,0,0,0,2,2,-0.36715282780814995
1,0,1,0,2,1,2,5.566711584961445
0,2,0,2,0,2,1,-1.3742194889627426
0,1,0,0,1,1,1,-0.18874705795172797
0,1,0,1,1,1,0,-2.3679688632195313
0,2,0,0,2,0,0,-3.1610644530421004
1,2,2,0,1,1,1,2.1079138433716302
2,2,2,1,2,0,1,4.245877228247382
1,1,2,2,2,2,2,6.129905451624204
1,1,0,1,2,0,0,-2.5542163388718526
2,2,2,0,2,2,0,0.8286897952774046
1,0,1,0,0,0,1,2.718433938722341
0,0,0,0,1,1,1,1.3641082236837745
2,1,0,2,1,0,0,0.5153549485724166
1,0,1,0,0,0,1,4.4510612000739425
1,0,1,1,0,2,0,-0.25965498980246426
1,2,0,0,0,0,1,-2.2735666860516033
1,2,2,1,2,1,1,3.683215440256496
0,1,2,2,1,2,2,2.0513303583339493
1,1,1,1,0,1,1,3.5546293575998047
2,1,2,1,2,0,0,2.166682856477211
0,2,2,0,2,1,2,4.403344891924979
1,1,2,0,2,1,2,5.271415375243038
0,0,0,2,2,0,1,2.238903715171583
1,1,2,0,2,0,0,5.858160913916495
1,1,1,1,0,1,1,0.05682236987887457
2,2,2,0,2,1,0,2.935377147860649
0,2,2,0,1,0,1,0.021837286406260814
0,2,0,1,1,1,0,-3.4932310777824953
1,1,1,2,1,1,2,4.223227836448106
2,1,0,0,1,0,1,2.0397823224618437
2,1,0,2,1,1,1,0.9883137236717638
0,0,1,1,2,2,2,5.1005411094965005
0,2,2,2,0,1,1,0.27164216202961966
2,2,2,0,0,1,0,3.281637262898741
0,2,1,2,0,2,0,-2.689250306610182
2,0,0,0,2,1,0,-0.14269067740308938
0,0,1,2,1,0,1,4.554936823340698
2,2,2,1,1,1,0,2.1926573471908477
0,1,2,1,1,1,1,4.987635970442026
1,2,0,0,1,1,2,2.161356129313342
1,1,0,1,1,0,1,0.01185429521356507
0,1,2,0,0,0,1,3.025010199063251
1,1,0,1,0,1,1,0.5810379396635743
1,2,0,2,2,2,0,-1.2036968000135602
2,1,0,0,1,2,0,-0.03248228663288477
2,2,1,0,0,2,0,0.09629262109645964
1,0,1,0,1,0,0,1.8601204129016924
1,1,1,0,1,1,1,2.259442964145361
1,2,0,0,0,1,2,2.1445920856783243
1,2,2,0,0,1,0,0.8237053507974746
2,2,2,1,2,1,0,1.9650027287018261
0,0,1,0,0,1,1,1.8054928343863133
0,2,0,2,0,0,1,-2.323765153836162
1,2,1,2,1,2,1,-0.48209599604276465
0,2,2,2,1,2,1,0.8196246916735217
0,0,1,1,2,0,2,6.318420275650324
0,2,0,0,2,1,1,-2.2665992605674963
2,2,1,2,0,1,0,1.1144116685560987
2,2,1,0,1,2,1,-0.5787565179008336
2,0,1,1,0,2,0,3.36831130896588
1,2,1,1,1,1,0,-0.9913527043691134
2,0,0,2,0,2,0,0.5685599771094911
0,1,2,1,0,2,1,2.9109599574211322
2,1,1,2,2,2,0,1.2441747461879724
1,1,1,2,0,0,0,-1.3038749198883557
2,2,1,1,1,2,0,1.0622479411719379
0,0,1,2,0,1,0,0.9730175613481935
1,1,0,0,2,0,1,0.476057545252148
2,1,2,2,2,2,0,2.643814627927564
1,1,0,0,1,2,1,-1.279857516107135
1,0,1,2,2,1,0,2.373892707068058
0,0,0,1,1,1,1,2.333440960225359
1,0,0,2,0,1,1,2.163166476741038
0,1,0,0,0,0,0,-3.892761606092826
0,1,2,1,0,2,0,1.075116727038403
2,1,1,2,0,0,2,5.7466570377532715
1,1,1,0,0,1,2,4.95404362607423
1,0,2,0,0,0,1,6.316733177411726
1,0,0,0,1,2,0,-3.2958225341099237
2,1,1,0,0,2,2,5.605242204428457
0,2,1,1,1,1,2,0.7065205904959166
1,0,1,1,1,1,2,4.268271258551301
0,2,0,0,2,2,1,-2.4984734103735633
1,1,2,0,1,2,0,2.460971109030012
2,0,0,0,2,2,0,-0.6307346102868241
1,1,2,2,1,0,2,7.254576417057551
2,0,2,2,0,1,0,5.8033388475316
1,0,1,0,1,2,0,1.6069761962994977
2,1,0,0,1,0,0,-0.8376236302270483
1,1,0,0,1,2,1,-0.789378004189292
0,2,2,2,1,0,1,3.095932131580228
2,0,2,2,1,2,2,7.138777313504094
2,2,2,2,0,1,1,5.224470460819179
0,0,0,0,0,2,1,0.0848008408695633
2,0,1,1,2,2,0,2.9041655003571436
0,2,0,0,2,0,1,-3.5180877054133246
2,2,2,2,0,1,0,2.1332833698714135
2,1,1,1,2,2,0,2.2335855160113764
1,0,2,0,2,0,0,2.693589912148019
2,0,2,2,0,2,0,5.288635867251846
0,1,2,1,2,0,0,1.6390122536790235
0,1,1,1,1,1,1,0.5662443861676936
0,2,1,0,2,1,1,0.6646730864913046
1,0,1,0,1,2,0,-0.6422567689785561
2,0,0,2,1,2,0,1.4966807487437088
0,2,0,0,0,1,1,-0.6405648419267076
1,0,1,0,0,0,0,3.3999431391006616
2,0,2,2,1,1,2,9.289806720538522
0,1,1,0,2,1,1,0.8883192238691545
2,1,2,1,2,2,0,2.85419744345237
0,1,0,2,2,2,1,-0.992925793905642
2,2,1,1,1,1,0,0.9338072479179067
1,2,1,1,1,2,2,1.8727561945405835
1,0,1,0,1,0,1,4.69742381805038
0,2,0,1,2,0,2,2.3231605180033243
1,1,0,1,0,0,0,-1.231883235127395
2,0,2,1,0,2,0,3.325605196716695
0,2,1,0,2,0,1,-1.2847447463164126
2,0,0,0,1,1,2,5.696565551711575
1,1,0,2,1,2,1,0.3702538210395561
2,2,0,2,2,2,0,-0.6331691039359468
1,0,2,2,2,2,0,3.236365750840651
1,0,0,0,0,0,0,0.9206235475398317
0,1,2,2,1,1,1,3.0417008265502745
