a,b,c,d
10.552720665669554,15.657815408410547,10.163168032359406,14.72482561011478
5.3702163051329554,11.759153252756946,6.489918270615434,4.381220348305784
4.8680050453994745,8.657855525748062,5.707880406592178,4.009087204305306
3.393053456124765,7.265357800410205,4.209101326769051,-0.33946130450034584
13.554994715648983,16.095784336320232,10.909828457328693,14.80587446271709
4.97664198457728,9.54529799788222,6.092776652579518,5.363012296456055
4.0776919971696,10.241513389236157,2.469738655392157,2.756430496118314
4.310148993222256,8.627613281330072,4.445710740957795,5.111747287860089
8.203169674075669,14.41821525034638,6.522959609586195,12.366220689390913
7.2652619475247295,12.15674776433018,7.801321874322525,9.687513538005359
7.519600233214313,12.537829056537008,8.014967260989968,8.207265201347312
7.619224969558456,13.94394299122836,9.164757244348136,11.394050444637289
26.457125302197277,14.398229522555829,11.68763439272112,15.595360228508579
4.1432296115401295,7.9621075156151715,4.846004659792497,4.148895277642841
3.8361606464475355,8.14759643841918,3.8357995690506352,4.063548355615048
3.080430597994914,8.292764548638052,4.065591710540652,0.6777943195346126
8.718103296187614,11.9123442240071,8.690185658863301,14.55545472420452
12.662835103488177,15.397470902651122,10.498607348556652,14.080572246858134
5.125787191096931,9.347015873479188,6.611923508057699,6.675061430829877
3.0218576323378348,8.929670293071398,2.964086286348411,-0.19823129725552047
3.0565216750089204,5.422261370108448,4.362200314251421,0.9396934492730296
8.940463806435831,12.913898031331662,10.117865175128134,14.744561755730608
9.564045277643032,12.63757712640893,9.10925346051221,13.828745897686543
8.268158782186086,12.201929315822133,9.742052910403487,12.859146292063809
3.4313377354926184,8.439003636601562,4.629904080864123,2.809420855010371
6.593759477301696,11.174532851851943,7.195685364674354,8.465378184060828
6.06236554699576,10.568987978047744,5.800042088968107,8.7045050907581
6.5294354949189435,11.130250623538883,6.170229476343374,7.987828651218469
10.498943468221446,14.963388240619944,9.962337423096978,13.250599499748835
6.5527901965000765,10.304254154556968,7.595384659792036,7.788969615815594
9.126612061807819,14.59346170270687,8.670986894406422,13.792025340106543
5.8495719113390345,11.27223788172452,6.787084159958905,7.599306431542805
6.8727762892560875,12.017814226912188,6.1310207603776945,7.235523979279342
8.815758561588751,14.132292004340014,9.111689977149902,12.08629331565304
1.928849601735265,6.985267602543924,2.538497356309273,-1.0595341382838108
4.4131692436104775,11.208242546341545,7.358299388669394,4.513458671853653
3.9548315498980466,8.627737378845538,3.0775158943776795,1.7346770174309734
3.498479227855703,7.951396009521125,5.4704937943458365,2.252241944213315
4.558500565952663,8.564972985595285,5.2083429799399426,3.904344367905713
16.52644490019803,13.727737329422164,10.911171918015963,15.811533259761923
2.9659283415741116,6.481456553973036,3.584276254962316,2.3452423137233067
11.265505047718888,13.871202686769081,10.944726818195234,14.894189541911187
1.6367085516418953,6.326028169989824,1.9830234472798776,-1.4971727796887189
4.36458467055234,9.458879799050054,6.318634852009798,4.696650114645867
6.269020059913794,11.080162118465955,6.312548915689072,6.9953354456055
8.531366206679566,12.525830929249853,10.163600778858815,11.381804131254617
9.34373913845185,15.003923702471813,9.199372018238828,12.793428282021878
9.919078871964787,15.418491544265734,10.3588270255635,14.266811707088332
4.320851926025702,8.921203618603684,3.7488893737354827,2.72742754967084
3.9779803391027424,8.085064194438031,4.933004059450263,3.7389968726021245
10.396673324282142,15.3084279208298,11.945125956926534,15.769715673783711
4.8452402888785695,9.793213876364673,5.267884109057715,3.5498759382673875
2.201120692152609,5.512993432737561,2.5042349934486996,0.005019143290194837
2.441422044622799,7.133441788638394,1.8268050815548722,0.015061069796270615
2.852436797332117,7.8744726094064985,3.1231441437798093,1.5774987620440792
7.996032823453882,11.856338036966129,6.903238563732355,10.888022229660994
6.176978603414538,11.12682199625198,5.7641006166957105,6.074777273747241
9.203782534791802,12.508960049534013,9.930568580900937,12.400109609244033
4.080883352272802,10.177069452284972,5.899896550014198,4.004710314474729
6.249830039102166,12.257780024161598,9.55904090033167,9.554569693686497
8.779284789330008,13.286767455027043,8.692699704259107,10.437710550690905
4.44644827844496,9.569902616284033,6.381748435090399,5.056955276013253
7.764482164778262,10.114560198978388,8.50823464517991,12.06378047544985
3.44029717488375,7.043949514618417,3.789049528137374,2.2413636843165943
4.276036479242276,8.742257559090145,5.208630930968428,4.7002099896534695
4.218296729387882,7.9061637079610225,4.780213213067841,3.249667365361079
2.3327913905555833,7.807187873186241,2.9431871161678016,0.18664011529176455
7.936975022387734,14.694271553135726,8.028641859561066,9.437901397673917
3.957624768837446,7.541010049408144,3.0595151090385952,0.7668835213720362
5.619748717696302,9.542285313611108,4.576123515174221,7.245044516976023
7.901101030504113,12.896549398814043,9.054345913785339,10.248387394608217
7.706821663295729,14.07793781179535,7.930121573210016,10.18706516107057
9.037212928769415,12.574838616229512,8.941124029113249,11.763650381621556
5.18378106834098,10.19281719064792,5.6922866950641335,4.40352186364395
4.092642174848326,10.673941025661435,5.387574427763953,3.7037225372817297
5.255054525875272,8.363295377696005,5.93541846890167,5.261712292958453
1.631400122072187,5.1103309152263545,1.4753451854312198,-0.8530054006126816
1.9429969820110389,6.2793903755502,3.6692899376599883,0.2589999438802656
2.127097339776381,6.366508926920969,4.206282842758013,0.5656311511765608
2.695457389786258,8.268058677539901,3.6900140451091117,1.3365361578380404
7.449031698571381,12.450691418392218,8.92269520991547,12.007832307769505
2.8815864826631525,5.866624423021024,4.623546479476964,0.5633348065888066
4.229285037656497,9.504695440557308,5.859384354061011,4.164800949623725
