a,c,b,d
-1.0857719869569884,1.0043275703323917,5.007953995483303,5.201026839625334
-0.8110319457188361,-1.813130125147484,6.1029812346742895,7.399139496174275
0.47119145067838436,-1.2453248186749266,4.443387373434699,4.433503237824667
0.16906360712423507,-0.0005101847750646363,4.307002932551324,6.272876102127036
-0.00758404434650958,-0.5386044152949507,6.147723869999871,8.098834835682405
0.6075775648700279,-1.087862867494024,3.6418002581020206,3.919541480547544
0.8589133567923714,0.2933016212572197,4.2591455775712035,5.6173932504135955
-0.8278649338710932,-1.1751543645845564,5.305798080655388,6.006507728636048
-0.8581325583204337,-0.2816567027464458,5.0326274102066995,4.711043592453568
-0.7861305125732092,0.010712235844925066,4.813794185024697,4.5000527658745515
0.2682158780223617,-0.5184315824019188,4.650223981229626,8.540977950986834
0.11987587771110107,-0.8289113559867165,5.358320723214814,5.563996138895282
-0.5557250529893901,-0.5293535304320938,5.016722742379181,5.891054713809637
0.20467921983540482,0.6077737684611723,3.6330238915253714,2.7111038215027716
-0.6259090209943582,1.6652815661124691,4.760371021045522,3.634587771674566
1.251097126886274,-0.28656628872018775,3.8426724411038276,4.75931907980413
-0.4114583669387149,0.26091728616799315,5.7536412919967885,7.220403347681313
0.2611939700521698,-0.7573625646525851,6.4819021405515285,9.23343384376195
-0.6477985113314537,0.8466329645969685,3.2104110599168934,4.039296716573587
0.42732394773410737,-0.28231838158415323,3.4326912774286944,3.873783551342084
0.6098311570093351,0.24572444815113756,3.3275465085191906,4.2843913184345785
-1.4147485980125059,1.2461763059001765,5.998877293005871,7.918491032823353
1.2880690368099057,-0.8441454686086299,2.859428480230206,3.987241261284619
-0.5450596143588832,0.007532537196204369,6.789834010758227,6.569578425389794
-0.6093881964267575,-0.4281175970925545,5.308757356814306,6.167771089040678
1.3513746555584807,0.7414810535131898,0.7080762833720444,2.3241224111185885
-0.8661475279605729,0.11188960544837966,5.358808627139472,7.837563064327389
0.7205920606406917,0.336718396857517,4.091533419538692,3.8414064825823884
-1.4611307572479162,0.4458165253414229,5.795027757186592,7.3474934953903634
0.05967741576748134,-0.6340065106479764,6.760255013098929,7.200992201706803
0.05874611570041128,-0.06111675486183177,6.206899252990251,6.976705492955546
-0.5612730760795095,-0.6207840278336569,6.232696325748593,7.535156665754527
1.4740428105083558,0.23634409697909267,1.320283838015968,2.325151152176462
0.3913930763029593,-0.7742795320104493,3.019834679833961,4.160657119773048
0.879586598688298,-1.0695152915627537,4.01118132216081,3.717878218726634
