a,b,c,d,e,f
4.733522620249024,8.171354919994767,9.71445994381201,-2.4536372604480414,0.5621718205149706,13.290918696518133
4.960257358854475,9.827265640798947,9.250794394992962,0.5007018473151973,2.140064945477087,16.034493490428243
10.714124114697693,14.503812709383103,15.425852680544565,6.218668524467308,6.989931373119124,35.09966406961484
12.732865876829116,14.87677586720079,12.399511015842963,4.229330597218162,9.391143402633666,34.03286374330901
4.811679246689503,7.08806811697532,8.416180367390568,0.39739486816924885,2.871045802359209,15.088264605283928
8.401713106522761,11.245822182418632,10.743703829674896,4.258309816800455,5.685611315855272,27.62517447347548
6.059948294479909,7.155419456638256,9.782941585679866,1.5782144919355154,1.9251567468695818,21.094355593345238
6.360606294041755,9.985198821097791,10.069967617423563,1.45110290315428,1.8901033050139395,19.37724948493468
9.377763256401487,13.673039367989748,12.826088872714195,4.855389131417003,7.144106290742218,31.582784408040666
9.634710767294592,13.210680635721914,15.654299860331912,6.272773610812578,7.90064945211685,32.13307454531884
12.207505273584193,14.538875538520461,14.295546509999895,5.280029618135352,6.625791749613551,31.937199980426726
11.328414724317746,14.67525676696856,14.193087198027476,5.61083116267208,6.327320085468659,34.44035409389831
11.98004108430171,14.06601668043607,13.449071869842193,4.010838866123954,5.747800724808571,32.05388351705727
8.72063617400056,11.859785776191432,13.215130877865933,6.160580128012632,6.322631667457495,29.242446032397815
10.160623853170687,13.749516023804055,13.555062224603782,6.01306858800999,6.471194255107018,33.94020947893673
8.062752489422552,13.493293478036684,11.668542597644716,2.7682235765095458,5.422345256790986,25.427710553787282
6.6422649278229215,10.17954623165324,9.950515510138272,2.6542207952170793,3.1738883469458132,21.7667272923526
9.798052990248813,15.221481702334511,14.489191997071725,5.210766264996373,7.684288386802125,31.11785362263464
5.216395193553036,8.438931789467842,7.392769991030955,1.8891609947783117,2.0184188802287437,18.519938230155894
9.858687513767684,13.872100243428344,14.538278039517758,5.824257384407579,7.917595397150923,32.908737465345276
5.46137650951554,10.678884267536676,8.329217703549947,-1.8562560558372132,4.088139666979504,19.8579127434712
6.998493617054718,11.261881857674663,10.180831040151697,0.9477555094912482,4.928936183603155,22.643167751684075
8.302070141481181,13.9731862899808,11.745370051395469,3.576542296477751,6.039889924390838,27.854974336527803
9.246490166072093,14.230847923259525,11.539353763885853,4.546031832610135,7.178437755502609,32.359887909494965
9.241889850356095,12.47566038399214,13.935783978573497,5.8118124554888935,7.17192734214643,30.72112707878603
5.65764936014267,9.996225274654476,11.290604167874422,1.8627774274906788,1.742464779610352,17.735198129724914
11.096958734127217,15.007649609848299,10.852945046217258,7.152106349923557,8.060340581784704,33.69379874593545
9.378239516550746,13.752316740420543,14.6300184071518,4.573428178332189,7.37433787799708,29.481128818372547
11.29501048755364,13.849309985636841,11.0682916650808,4.717316148611839,6.403583861340561,32.65859732917462
7.208086873486731,10.184388046128669,8.843684718498256,3.3805414784564425,3.588066123723128,24.61232943242822
6.8482057431944865,10.851251201980958,10.46580903658339,0.2528343683202001,4.722997325745055,23.648257339796746
10.65385071411512,12.123033067294584,13.30966002665489,6.123376870254098,8.479264568425377,32.46039497439343
9.155703240327355,12.305128356405906,12.163366175914646,4.4322649419587625,5.969547044211997,30.431016536583396
12.057103767482126,13.34051976671521,13.305526934164142,7.055146728874839,7.704009823450106,33.808668355954836
5.704880351608806,8.448050140550563,8.42702836836478,1.8849010250306386,1.7582766363194013,19.19720578475459
12.2962177172958,12.200164593454371,13.189023495444285,4.418196834222789,8.212593620899792,31.023632361153776
10.551458853798835,14.891031857667974,14.096947785695374,5.887232843436194,8.750099203713916,31.542617525018628
