a,c,b,d,e,f,g,h,j,i,l,k,m
1,2,1,1.7168141996897797,-3.5491758907887623,1.1002149454020576,1.2316783951197596,-6.905752574687028,0.858745671268591,13.960537522945952,20.06258452574209,1.2729895476085962,4.028088715044156
1,1,1,0.7702877713306187,-0.01416981558974359,-1.5110562101707634,-1.3523400185226784,-0.8895695621207083,3.74696212330674,2.1582253465713324,4.870005890731228,6.671611162580362,2.88657645980388
1,0,2,1.6684123673787281,-3.6658888868929553,-0.879236297601077,1.9271842960000274,-0.32392536564816415,3.5777401405745612,7.3976912186830335,11.408446189364003,3.561133750822992,-1.434043240914385
0,3,4,1.52467921540253,-4.652683461037039,-0.6824752706476211,5.506694684006016,-4.641215665960009,-2.5253023622200876,15.788420724463952,11.498655055266859,-3.9905776390701315,2.3512384062017686
1,1,1,1.3576631277952695,-2.3202016491171835,-0.7698785894068002,1.0353613050028505,-2.3163387313445387,1.9263190017174883,6.87808345990523,11.641057125346872,3.033861350445553,2.8184355570746016
0,0,2,0.473157907403126,-2.1481670987027286,0.2573933363183858,1.528700765101577,-3.6567977890436025,5.993347793994666,7.094353269879359,13.85767453917586,7.484219886999195,-1.6026292797353348
0,1,0,1.1238127093831047,2.7667041849364686,-2.1634311415752085,-1.5147265566088277,1.5406652334975082,6.4702595406257135,-2.213186911548457,0.6901823307515043,9.786825664644745,3.2121206142182794
1,1,0,1.963369806032687,0.39481378466869227,-2.318458951845642,1.3839204781587149,-0.02341050028467849,1.7739058573718736,1.2554520176130584,2.326379778244545,2.721880799951026,7.2452835706274294
0,3,0,-2.1907152572567066,7.910879078860796,3.1746447387837455,-11.17574051663717,-10.304678114684457,13.85156045934456,-3.677639523309921,10.225807375267415,27.83365355220074,-1.319071979961866
0,2,0,0.2394817154636063,2.950701800653295,-0.5018323840058585,-2.2456459532046753,-4.757493492422056,6.922807200193525,0.45813211329968606,7.5042836470367185,11.223520623419548,2.9129184458242947
0,0,4,3.1655830924283737,-9.953138534940956,-3.9922233138787955,13.632821431674566,5.076378342573708,-1.7756573597566438,14.989650311666779,4.3086072079010425,-10.645989029942012,3.7399375794065906
1,0,4,3.624386451706263,-9.94755448924155,-3.83387377580306,11.85591554666583,3.742866396187811,-3.060922718856845,15.26014111829601,2.9705223231584057,-13.485507025362367,5.098680156458327
0,2,4,1.7219814837613954,-8.117393545150435,-0.24342987790320936,9.285147421333743,-3.927276046121862,-2.774508578089029,19.24313923552416,7.383526892047917,-7.639778506657952,4.721808197860045
0,0,0,-0.05426909809074898,3.8141148825288256,-1.7061847930274192,-3.39281254490105,-0.3150548236832585,10.109745308244845,-6.3915643662254915,-3.095152316847198,16.677988376357746,3.9940082506596877
1,1,0,1.8310401549961957,-1.1939440912288057,-3.072362883975352,2.7054942965343076,2.930236104289638,0.73952929450722,3.5685170920165215,2.9292783368324016,-2.421106998346031,6.1341153401509505
0,0,1,1.3173802405295536,-1.0433950529057725,-3.9574403550207635,5.339558932042253,3.9281249456515828,1.7181083662937409,2.5507334780411632,-0.4769930045641547,-7.318005356035014,3.497289274785683
1,0,2,2.2272098412753554,-4.313420455771051,-3.7860651169649175,5.733355301248208,5.643255561379726,-0.3519551355330189,5.135128166676538,0.4064753711085802,-6.204304696204062,4.202218579585621
1,3,1,1.3005556094197264,-0.9582765168650237,1.2629527289954767,-0.2771593539561289,-7.011315607008693,0.4396875831236191,9.67951681837594,21.85779184273897,4.103830711132001,5.2024309396778445
1,0,2,4.18927451067423,-7.987701159219033,-4.60776830787012,9.297741613437072,7.322251562797826,-5.464911018782314,10.047244118543686,4.369610266395409,-17.686292038022103,3.8765947216245644
0,0,0,3.1443700546003592,-3.3480751493081886,-6.119013931657982,8.725999442053626,6.983040898088267,-3.284330948998593,3.241791595108958,-4.097311573297114,-19.087417822172426,9.26961631292592
0,3,3,1.464807871505905,-5.8344112594271955,1.5990875513354585,4.776344664756044,-5.588735731269935,-1.3012848282812706,17.463890781249688,14.14580999550231,-0.4611919661991435,3.5350268289212288
0,0,1,1.5102658183698163,-2.06678524012822,-3.331401850453317,5.282604577112528,2.180382960380634,2.590398880947633,4.2911360715775535,3.1115550984572087,-4.470525193099032,4.104671554530626
1,3,0,0.5127201630263427,1.8284966760717116,1.6993299107591404,-2.426540597882256,-9.505880298015487,3.5111588899174047,4.8232929819518064,14.00678218844775,13.400785373493834,5.616031627345562
0,0,3,2.926822871784244,-7.657679018964864,-3.764446366142536,10.682583949366276,2.9089281181075757,-1.9729074266770115,13.843266861582897,5.050146719908236,-14.416494970739345,2.5071139720511697
0,0,4,2.551177949299462,-10.345670464412411,-2.97767736894446,10.382455162410388,5.463969104005873,-2.06761366660991,16.500438960145456,2.6346691071885155,-11.974825765714904,3.124045206919596
0,0,0,1.4807641879115445,0.9310244103876175,-4.569084049326694,1.782068988548343,5.149768474271176,3.960621385347172,-3.2825086463019737,-6.568896404355402,0.2847247206650341,7.134111931164505
1,2,2,2.193753131876182,-5.194422111349662,1.6148357624840188,3.3201832016353956,-7.1483444350710705,-0.37851783581290877,13.72523709806449,16.025062576551488,2.1313808507644003,3.6241205653399264
0,2,4,1.030717353974068,-6.650664632115107,0.5553518981225368,7.723187476352751,-3.588397704482861,-2.2379574669237803,17.75986929095497,8.545910095272102,-6.416245796709312,1.9483835372646823
1,1,3,1.5807130636263387,-5.642465530833798,-0.6430688695610467,4.993794365642158,-0.9949376040980376,1.007426714943707,13.502092000395411,12.472462027033396,-0.835341376945339,-0.6237345847162097
0,0,4,2.0155269341641415,-6.922335944595692,-1.7075726150380497,9.360475394379536,2.977907520226344,-0.4759867747710408,12.252962914240054,5.179360549733161,-9.648543504425959,-0.042565071296359225
0,0,2,2.5239103777337424,-5.057031422972132,-3.916381009754897,8.572698765078549,2.474813618754787,-2.8667755704771802,10.640410843516772,8.69974861942483,-16.003724328819313,1.4327372345283047
0,2,1,0.28299329119995575,0.6673680720316839,-1.3381522223782658,2.2891507309659627,-3.0282444045470145,2.684455613477167,5.779242270556267,9.130120112205903,0.7908901438417437,3.142693351971633
1,0,3,3.320209976868338,-7.8080522179872345,-2.1624136132832508,8.53665444189261,1.477818302945222,-1.194620135498987,12.675911257188071,8.584886822151532,-8.91781020363046,1.7706298843717312
0,2,0,0.6800792422021898,-0.05093260602756455,-1.2395047220118771,2.6162944128753454,-5.213778949611378,0.6831938434520948,5.824781926173643,11.8250123633777,-4.86905605230353,3.820240004101872
0,2,1,-0.09484146289760959,1.5047357996878614,-0.5191014617880434,-0.24911985660709063,-3.112946765784296,5.2363446534820755,3.6244056771307367,8.192386873294241,8.325945122384777,0.8748502806218965
1,3,3,1.7262481636298057,-2.8579450718199935,2.7892991669084446,0.8719743499126912,-9.793193685873124,2.536781014774272,12.510497088526105,17.7561606440379,12.18440749587745,3.9903545053087823
1,1,3,2.6888426034583945,-6.846904901718686,-0.8918156472110141,5.812389912354556,-0.5137070223960633,-2.5087275278696395,15.150707665375183,11.214818313115227,-4.941235871704304,3.0471123458834413
1,0,0,0.9351869130885213,1.6226323330026526,-3.2144518011409584,-1.9478702173135458,4.87680451987733,6.872533235799093,-3.321082265859541,-3.9818565327931847,10.98675041200468,5.228373660609746
1,1,2,3.4823047911862446,-5.955551100757456,-1.503220819491155,7.179926459938353,-0.8842986022735244,-4.423129752712327,12.115867574872894,10.000512379044986,-11.163385243505074,4.882136167702977
0,3,1,-0.8907447437569163,4.062223439764087,3.2469325621883067,-6.136983123513534,-11.993800698360015,8.663285077815395,3.4817550323142203,19.221472599835945,21.721537412943313,-1.101960202068798
1,2,2,-0.2850953431851839,-1.6228479354520842,2.8360864114023605,-1.724744593646868,-8.82373416507686,5.493799873830211,12.278603457571245,21.196205118976145,15.319910581648902,0.1417454474325026
0,2,4,0.04495629041369775,-6.021899115823272,3.96772956194674,2.899811100430219,-9.611187497839573,2.151204024191019,19.124915768184742,17.740495002200166,7.748741395818612,-1.101962672985437
1,1,0,0.47895483932167804,2.782541225486776,-0.2664494428274915,-5.49020479014614,-4.044211046019437,8.139030416672579,-1.2412624110437074,7.0137642598562335,18.361506927545506,0.7381636362545378
1,0,4,3.3021733186575335,-10.869723335921345,-2.628103988038003,10.664459359184965,2.431691023010954,-3.535408579635361,18.27107310314885,4.74012267750741,-12.721596308215029,3.5502640052433385
1,3,2,0.42614949445376255,0.6377406570367545,2.0873520866872814,-1.5121843172254874,-7.668058880004029,4.3409964151458125,8.083291890829356,17.73591851679821,13.698983038109862,4.640375150753108
1,3,3,0.6331680323594069,-3.2358818071613737,3.7017468743275037,-0.15606398045053005,-10.679381767154632,2.4918367502983703,14.593135028636224,19.916697350677296,11.809161755253724,3.532781840634615
1,3,2,1.3197019654824786,-4.190403214617104,1.982217235303335,-0.14828953796862865,-10.568174664367728,1.6052423357652912,16.35207074860286,18.348761576342934,10.282609997081263,3.3452188131487937
1,3,1,0.7698753611927035,-0.6706933061550822,1.6245533878318537,-1.9744133423467056,-9.511638690116918,2.2813860017248824,10.207684525947133,21.535016709612957,8.58134066339676,5.0987732418385665
1,1,3,2.6260478706442862,-9.617780750670962,-2.2201928940631603,11.911090317166027,2.536756067972056,-5.933346712555552,18.586662845342946,5.612087994764189,-14.743557932659597,6.517960770591285
0,1,3,1.899828457328693,-6.186821906754699,-1.6208317015208091,7.651542579000128,-0.11446024081664213,-1.951051961349469,12.047961265438957,9.362615261578101,-10.051303502878502,1.1095604276466562
0,0,0,1.9661346680022382,-0.8284424896283451,-4.782725974285248,2.3700570650270927,3.9345303275768044,1.2914329534033615,-0.8169863284215482,-3.096868293021439,-5.99814025420845,6.5875359399856865
0,3,3,-1.957953341777443,0.8711147051641763,4.058080826336445,-1.4247160217736754,-12.355318149388955,5.345089385824208,8.34184543121354,20.830155645106885,13.18903756373758,-0.7731089035744474
1,2,3,1.2755617477355388,-3.1888652544621645,-0.1348431806765844,3.425284253731137,-3.574417962200577,2.576072714383909,9.686684818380192,11.63336282582271,2.4054211196568778,1.2767585626713114
0,1,1,-1.2302100644894738,4.545991650663062,1.8451453684501375,-6.893428073580342,-6.465076512818672,12.617028862774308,-2.932883731134572,6.087260642800226,22.73411452519849,-2.12100643058526
0,3,4,0.45605992679779533,-5.027614493788208,0.09418838669937646,6.638220460161901,-6.481851707576516,-2.7964851784815776,18.019720146460052,10.860505219624606,-6.45303918765404,3.273210972229178
0,2,3,0.8153670277756547,-5.957893306639765,0.8520503583530997,6.769738437478449,-6.509957964787034,-3.5614459329938173,17.12375203866184,11.796012611396304,-7.828202105752152,2.36298640149827
1,3,1,1.47553227478968,-0.03441054588547532,0.1509270802885207,-1.229708133393553,-5.552177361083427,2.7261614898936424,7.335128964926231,17.455581438762227,7.9820085079157135,5.1261441866131126
1,3,0,1.3476343927211205,2.010047353392192,1.4550348009975524,-3.3805256441881646,-8.452802863035151,5.95505294076105,3.1139302143451024,14.204611376962234,19.99168565332015,4.653150730112391
1,0,3,3.1827750482523673,-7.754120265249744,-3.587525526224666,9.70647331647315,4.901281022499118,-3.863659690864478,11.459573059028578,4.737668705474133,-13.841126484897309,5.080158029233831
0,1,1,0.44963892260310023,1.3556188563006284,-0.3955138881664133,-1.1659556789998389,-4.596273456583348,7.800047339706411,2.4379846544257253,10.17505042109682,14.023842490468397,-0.5588722769009672
0,2,3,1.3051611125457379,-5.854963265666996,-0.43108778767636735,7.1763496992900935,-3.1737386022001073,-1.8830757410572037,16.375041059868643,9.461206764416525,-7.132333780755043,3.415241628757183
0,3,2,-0.6479176373243136,2.865569604249174,3.0243536693669393,-4.669912486271898,-9.762241721497086,9.15150770879449,3.9808387682512087,16.03889482425031,24.844428282862804,0.37054892142684404
0,0,2,1.8886073485566512,-5.2222627600871405,-2.548327683573694,7.752026237491101,2.222083026631437,-2.5369598570049874,9.418811945015364,9.098871141232127,-15.818913404097502,0.14871098850825026
0,1,0,1.6661363169607677,0.8501616461802957,-3.868485196900047,1.5537134904021492,2.271871436423712,4.185364308787588,2.142199385831269,2.521784952736628,2.134973833175566,4.281995063975098
1,2,3,1.0822286540105763,-5.612892412012072,2.6022570554237032,0.26127906602622875,-8.290404733248794,1.7105639095216025,16.919086798841168,19.214415676087466,8.410258138822918,-0.9700477729387413
1,3,0,0.9656786392425006,1.2004841212707227,-0.31599118565355877,-1.1940902995318967,-6.204187590577233,3.2169708336845186,4.68580261018199,11.076532829530633,7.446107755329107,6.622288302624936
1,0,2,3.387401368692302,-5.029331775860038,-3.7438950599239194,6.971092711214573,4.142289061258208,-2.135076102498433,6.832883922181061,3.4983428695519416,-10.578136917495367,3.857543745522479
0,2,4,0.13520818286917857,-4.760218306679295,3.174700348599695,2.996375421158268,-8.020369217371922,2.562494261563294,16.10969289274188,17.880573921226528,7.106745302454186,-0.46647562166767587
