a,b,c,d,e,f,g,h,i,j,k,l,m,n,o
8.276107824200809,9.178753087632938,-17.152255890883705,20.16289934910635,1.1669987735843004,44.32626328540576,-0.007541468523305395,15.033699474851167,4.037876146997462,35.63454500644116,-2.092117064362143,24.53833554379109,-6.14240030527733,0.3067155585315364,2.7312648975287113
12.737500801855298,9.868025541689743,-18.55787334593938,22.142198115188858,-1.2808727288078212,45.00567246547424,-1.1686459366452726,11.035403634718854,2.3631964834968704,39.58105309578128,-5.323612244755472,19.533548184598267,-8.19468628967631,-12.997595187286375,-1.3094791031083155
2.6481259834648614,3.455387350413717,-3.6669276820315067,4.802372315426244,1.0558365990456933,15.346697945050396,-11.300300817407352,1.0793334062942772,-22.696511267875106,29.449972818704204,-17.83678337132905,-8.90644772408304,-6.451930145673734,-32.87380939928077,12.689888482370216
3.579488361269851,6.122443169001603,-10.066007035454671,17.613401715090337,7.053846685171098,40.7143347780245,-3.3110845884816804,15.634454320192809,-7.2431619915890595,28.60158283076941,-11.923983424499394,26.749184777110884,-16.75206613083626,-9.653414950236558,19.96857760617737
4.91332425622666,5.373604459806281,-8.884782806276002,16.11511831674493,6.424882068026678,40.17404873706887,-5.024554114328574,14.23405219531948,-10.932959840944346,28.72763453758059,-17.380180628065897,24.52981052328757,-14.49742574435258,-16.438108574703026,21.35591514189553
6.19471958964207,5.823428156885527,-9.50212042088028,17.532510318714856,4.110591136782674,38.91377875195239,-4.785196060617612,9.938920759576792,-10.635289463481117,27.053006470691784,-12.627446387698052,24.688182864089196,-12.18363732454476,-19.41999110064276,20.069368493532462
10.413940215313321,10.931970742519272,-20.345638748355036,19.328732659878078,-2.796124805857987,43.94553985184908,1.2564204429864831,9.514936175946502,3.345990590893205,36.14352425061687,3.9000326064540145,37.30195621023363,3.665373618615037,7.133410679446327,-12.805847480398661
2.6981876921479166,3.3898923261982845,-7.143659178768542,12.37816627173196,4.798930873702014,32.650172909723366,-7.663138117460956,8.75461347949629,-29.431967607914583,32.82275216943167,-15.956729701054956,16.577801518099424,-19.507604133202012,-18.643672708213558,14.429906410303804
4.312183102403634,5.639999941403639,-10.1947540641383,19.012899399053772,7.068159151678969,40.47893954764206,-3.3615069314984285,15.43609307198791,-6.450388387348906,28.14888888776796,-12.677862424931066,24.63123538273956,-14.467164411495315,-8.624424794957877,21.45123333219096
2.163258677684217,3.4553402122659698,-4.454230927316294,6.679331503025433,4.443849579553367,22.105340876307825,-10.704415925832224,5.722553756406884,-25.010046716672566,30.929524376070813,-21.458756029741977,3.360610761666562,-17.84662469726683,-22.99998329947476,6.9015101877573635
