a,c,b
0.37616889619326804,0.08535632073039298,-1.2979544367802651
-0.5119595095488515,-0.26650740435381826,-1.5791995705882622
0.8272348654990747,-1.4460254286366905,-3.8651265282834615
0.21125444805077526,-0.996617191452439,-3.660651552294669
-0.7452943516631282,0.7877049688555928,1.4754136635886097
0.2677252628411601,0.025777074075867133,-2.8240512245700873
0.7091804748044623,-0.45013967657015375,-4.7593034600426325
0.1775201162813649,0.2664736612859194,-2.340230746858097
-0.7825690979470793,-0.8814409085023382,-2.6300078198616674
0.26232899967310325,0.756946082607378,-1.9385611689664137
0.357001704721309,-0.19622767348277137,-3.6533377590466447
0.8242873759764425,1.1846110435416022,-1.9891484542953264
0.722034422659204,-1.7777713248642906,-5.67928010215012
-0.9082575129676725,0.484291849330751,1.4277191448208113
-0.4977713562029589,-0.25690356444223805,-2.1761656086228536
0.6057131279533329,-1.1806694435468499,-3.316398299217592
-1.6976786020842596,-0.7987127592051105,-0.17097450475620835
0.7772288109823667,0.21123233209142783,-2.366007292213468
-0.8394498883349977,0.7345635446497418,1.2690963000580358
-0.4217756438844333,-0.2712518323872148,0.22453547140061647
1.4433399342491566,-0.031688436233833085,-3.202336248789993
-0.06448288782689197,-0.317298858793337,-1.022466509193763
-0.30187914508096503,-0.3521336448370998,1.1735400056945173
0.2814131031772033,2.0014728020691757,1.4593145375695604
-0.09394490048932266,0.8447771434524359,-0.11286203471116543
-0.6259090209943582,1.6652815661124691,2.903678826669165
0.24985754536975244,-0.23474694431823587,-3.4177198501161894
2.136829833930069,0.5412660609143776,-4.497645068943798
0.9196307357367628,0.0299355119124269,-3.7914938394281252
0.43790573361922813,1.164233390738893,1.6731960184440153
0.25728420615046677,0.4053355385397593,-0.7383293344076063
0.7977890697790292,1.713623589051034,-0.056886763625087766
0.6240881317831657,0.3285097686234216,-2.799486511580194
-0.8567355971305933,-0.21864110921308,-0.049331501861468285
0.5070579757016108,-0.8044906858345681,-2.967418733239094
0.052237921489733614,-0.43133656708266765,-2.90573434241012
