a,b,c,d,k,e,f,g,i,h,j,l,m,n,p,s,o,u,q,r,t,v
2,7.773184139647689,2.9172909819192814,-1.216138833958616,-12.601080799978918,3.033704332424068,-3.858923957067352,0.7442935217112618,5.710203474155726,-46.42420449692095,4.278783452141789,-0.7843877184810604,-15.414781311179624,-3.958066502241725,-13.166062241460942,75.48224723333054,17.65520962921087,-4.352463769060466,25.661174641183944,13.626930425446197,-4.21727684337065,-32.7750334527288
0,0.6908799373806709,0.8959392835148312,-0.31671613992734726,-0.8380165412936068,5.246939623217196,10.258124276813279,-23.125691262766637,4.063556029847896,0.25935913483496376,3.095747461224848,-14.45083757559559,-23.487713446061157,3.2559272608246514,-2.6853740857303965,9.102182872895852,25.180041205210127,-2.890787658246888,10.88152499374972,6.242159445965776,-3.718358255245545,7.66575677857294
1,5.552866902988892,1.8259233376884363,0.15597311393377772,-8.651619646204397,3.530304654734761,0.033867835951259195,-6.079552626213332,3.7239775698157747,-29.393433476498323,2.756745458102599,-7.694121136951537,-27.726926168242024,0.92168344271024,-13.148024589209415,43.19021301871169,20.324794571837653,-1.7702033688550332,32.77558355831271,22.475781349047857,-5.7466093511422764,-12.819889316005435
2,7.84974701473163,3.1146518770429683,0.8235108308193543,-12.827151796178578,7.7250693872268785,4.141786578992139,-13.776274448642802,4.887499333333855,-48.98212047930208,4.928430212885285,-12.21845884451554,-33.88602048629117,0.669178008486702,-12.976525075528677,80.01772006252016,29.209591164659248,0.017635836413712358,36.39272527633077,15.08243913117784,-6.769851835561391,0.08965934958347307
0,1.2485858907626814,-1.0666159868248435,1.2399491332133576,-1.3877296447182907,5.871809454393228,9.645161780281107,-17.34285682706441,2.563039960462955,-1.7220644610524698,3.8247332397445195,-16.088145931803243,-23.935484015511744,5.019525326231068,-7.569823614804049,15.45740935945009,29.931576514400938,4.86281997515597,10.548661016356778,16.14522131731614,-5.283731244289514,15.229133614348772
0,-1.6864409292794438,-1.5594144106883818,0.6087092078283755,-2.848670044121775,5.115214271304908,12.8853214831264,-18.56621444040513,2.0738092644191517,-3.343080970120349,3.308601182698881,-13.867951791157699,-28.18735153564984,4.773948142359912,-9.879565970605618,12.686465098723133,26.87737322077765,8.227052020054023,17.099482383467944,18.398415051844164,-3.7365654348789477,24.515224917312203
0,-1.4284311711608328,0.01985460602804955,-1.9110100349119972,-1.1276262323666264,4.075558384748368,8.670299354380555,-18.625810317575933,3.5482742561067724,-3.301335464415042,2.721338851703935,-13.460042977742125,-28.43205269966891,7.926285752465622,-6.903270930732667,11.137240951053464,24.678435726571735,1.4301174715785927,16.806143339111987,16.201230840231904,-4.863347904297343,10.472551671969338
0,-0.7416851447457907,1.7275306249981854,0.11198417235482942,-0.6721844309980969,3.3286890862348195,8.970996124688082,-22.73075967148557,2.9669261239016422,-2.379819798056164,1.163018740057324,-13.01480714546276,-23.978315428955362,5.392317567222747,-6.363230773293664,-0.1594073932857596,22.613327804009014,-0.0505167695188643,14.0530310695983,11.03171668561147,-3.9695980751920836,6.3631339142649015
2,8.111943379570437,3.167181786009321,-0.5458592282054298,-14.696402347667581,5.925266219628822,0.6921853075657481,-9.22981532932711,4.048420597320961,-53.115557326056845,2.811528507971291,-9.995458026029565,-31.982736921584753,-0.3911353569487186,-13.197286543923873,69.36712719087943,24.546818147416783,1.8023372357293086,36.20602779915773,11.716395477334851,-5.88901887277672,-1.6173516458124226
1,4.924098207513249,-1.0226931688656509,-1.4329347779671715,-7.790119289676956,4.107247483915389,0.5318489033366007,-1.8014920520203856,4.734303351391881,-23.34282292454355,3.2497626856840043,-3.623588938071728,-21.942003975989678,0.0718487716710352,-17.12735568367665,38.83722589514183,20.54592475943659,2.222468493928945,26.496331778782306,25.67937723452495,-5.563838300051693,-12.464346143444024
1,5.131248481532517,1.0802258007105068,2.460197984399676,-7.049357082145563,3.6980908175067078,2.685575902767499,-12.15961122898751,2.815631543846254,-25.119351836924476,1.9761115878848423,-12.071761258932382,-34.73091188476439,4.211587061524302,-11.950470801218835,31.309870549735155,21.498186498962276,-0.08424669228915899,36.886970568090035,20.025764401740712,-6.163648883356511,-1.161116751003341
2,9.547819424504539,2.1716181380476502,-0.5535556008943047,-17.208632743769186,4.815865148786338,-4.367377094830258,2.089601665778071,5.082681414704449,-65.13406271091053,3.700994087932434,1.716759271687809,-11.690282549234741,-3.3991915009206863,-13.2558287727141,92.65239105229094,21.34068224723149,-0.4413004290545792,27.806623783911352,22.894232695897387,-6.612041209332481,-28.91896549177343
1,2.6024475639362734,0.4310841189437744,-1.1004323053820393,-3.6075750760931324,5.336043066565806,6.00974685583161,-12.303013727486311,1.1121186910494627,-8.318302723830909,2.876981062283379,-12.809691634036861,-33.81415675443403,4.149994492077361,-14.906227410462005,18.688961592896906,24.880587823217702,8.246954840157287,32.90028210350075,25.728635783044098,-6.312399900480467,17.911295197077557
1,4.80306960061231,-0.1921038985709047,-1.5819100543615627,-8.975999800208864,5.625290052980638,2.830229693169103,-7.741591277907399,4.822664447177273,-22.040275235362422,2.779348873489091,-9.570395162784108,-33.63403681892032,4.014447948065542,-16.05827674036311,33.943368048618616,27.538868294489344,2.0932304471758325,35.64274795827504,27.01710017057089,-6.113370889370991,0.6073168517203433
